symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
NGPL,Ngadi Group Power Limited,Hydropower,2016-09-07,0.0,277.0,277.0,277.0,200.0,55400.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-09-14,277.0,304.0,282.0,304.0,70.0,20680.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-09-18,304.0,316.0,310.0,316.0,40.0,12580.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-09-20,316.0,347.0,322.0,347.0,744.0,257518.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-09-21,347.0,360.0,353.0,360.0,33.0,11810.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-09-22,360.0,367.0,367.0,367.0,10.0,3670.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-09-25,367.0,403.0,374.0,403.0,800.0,321570.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-09-26,403.0,443.0,411.0,443.0,2100.0,926300.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-09-27,443.0,487.0,407.0,410.0,15383.0,6860161.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-09-28,410.0,440.0,405.0,440.0,4662.0,1983520.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-09-29,440.0,484.0,442.0,468.0,7258.0,3381097.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-02,468.0,459.0,422.0,431.0,1282.0,549638.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-03,431.0,450.0,432.0,440.0,1968.0,871850.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-04,440.0,441.0,432.0,435.0,732.0,319901.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-05,435.0,435.0,431.0,432.0,520.0,224670.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-06,432.0,448.0,424.0,440.0,511.0,221873.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-16,440.0,440.0,425.0,428.0,339.0,144722.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-17,428.0,430.0,418.0,421.0,1075.0,455148.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-18,421.0,421.0,408.0,408.0,1064.0,439563.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-19,408.0,437.0,402.0,411.0,2962.0,1218418.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-20,411.0,435.0,413.0,430.0,2743.0,1173221.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-23,430.0,430.0,409.0,418.0,7497.0,3102698.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-24,418.0,420.0,398.0,406.0,3821.0,1553858.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-25,406.0,415.0,394.0,405.0,2395.0,962552.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-26,405.0,413.0,392.0,392.0,6824.0,2698700.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-10-27,392.0,406.0,390.0,400.0,2172.0,866445.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-11-03,400.0,399.0,385.0,385.0,160.0,62800.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-11-07,385.0,385.0,380.0,383.0,842.0,322410.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-11-08,383.0,385.0,361.0,361.0,1597.0,593055.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
NGPL,Ngadi Group Power Limited,Hydropower,2016-11-09,361.0,365.0,338.0,340.0,1216.0,422757.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NGPL
