symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2012-01-08,90.0,89.0,89.0,89.0,31.0,2759.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-06,94.0,103.0,95.0,103.0,200.0,19800.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-07,103.0,113.0,105.0,113.0,50.0,5450.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-08,113.0,124.0,115.0,124.0,60.0,7190.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-11,124.0,136.0,126.0,136.0,100.0,13080.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-12,136.0,149.0,138.0,149.0,70.0,10070.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-13,149.0,163.0,151.0,163.0,50.0,7850.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-14,163.0,178.0,162.0,175.0,9802.0,1645672.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-15,175.0,192.0,175.0,187.0,7449.0,1412198.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-18,187.0,184.0,178.0,178.0,1000.0,181300.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-20,178.0,175.0,175.0,175.0,100.0,17500.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-21,175.0,172.0,172.0,172.0,85.0,14620.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-25,172.0,169.0,155.0,155.0,11897.0,1913763.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-27,155.0,155.0,140.0,140.0,9258.0,1313762.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-06-28,140.0,154.0,140.0,154.0,907.0,131364.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-02,154.0,151.0,148.0,148.0,250.0,37450.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-03,148.0,146.0,144.0,144.0,400.0,58200.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-04,144.0,145.0,141.0,141.0,3958.0,566104.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-05,141.0,139.0,135.0,135.0,1265.0,174335.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-06,135.0,133.0,128.0,128.0,6164.0,794492.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-09,128.0,132.0,124.0,132.0,18330.0,2294500.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-10,132.0,145.0,134.0,143.0,6860.0,967110.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-11,143.0,148.0,144.0,146.0,650.0,94600.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-12,146.0,148.0,135.0,148.0,2447.0,347953.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-13,148.0,146.0,143.0,143.0,3166.0,458918.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-16,143.0,145.0,141.0,141.0,317.0,45331.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-17,141.0,147.0,143.0,147.0,600.0,87000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-18,147.0,147.0,140.0,141.0,2039.0,291260.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-19,141.0,139.0,139.0,139.0,300.0,41700.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-20,139.0,144.0,137.0,144.0,2550.0,355700.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-23,144.0,148.0,140.0,140.0,1420.0,202340.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-24,140.0,140.0,136.0,136.0,2378.0,325908.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-25,136.0,140.0,138.0,140.0,2372.0,330480.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-26,140.0,144.0,140.0,142.0,4180.0,593460.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-27,142.0,144.0,140.0,140.0,9514.0,1345948.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-30,140.0,142.0,142.0,142.0,100.0,14200.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-07-31,142.0,146.0,144.0,146.0,500.0,72580.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-01,146.0,144.0,138.0,138.0,3319.0,467736.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-02,138.0,151.0,140.0,151.0,4508.0,648406.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-03,151.0,166.0,154.0,166.0,4531.0,746740.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-06,166.0,182.0,169.0,181.0,27747.0,4953832.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-07,181.0,180.0,165.0,178.0,7487.0,1302510.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-09,178.0,182.0,176.0,176.0,806.0,142951.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-10,176.0,173.0,161.0,164.0,3604.0,597944.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-13,164.0,167.0,155.0,155.0,3431.0,561095.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-15,155.0,170.0,152.0,170.0,2111.0,322742.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-16,170.0,172.0,172.0,172.0,250.0,43000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-17,172.0,169.0,155.0,164.0,3520.0,549190.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-20,164.0,162.0,149.0,149.0,974.0,150488.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-21,149.0,163.0,147.0,163.0,735.0,115898.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-22,163.0,169.0,160.0,169.0,540.0,86991.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-23,169.0,167.0,163.0,164.0,1931.0,319522.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-24,164.0,161.0,155.0,155.0,2600.0,413500.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-27,155.0,158.0,155.0,155.0,2650.0,416550.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-28,155.0,153.0,150.0,153.0,131.0,19862.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-30,153.0,160.0,155.0,160.0,4444.0,692464.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-08-31,160.0,158.0,152.0,152.0,1570.0,243740.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-09-04,152.0,149.0,143.0,143.0,1150.0,169650.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-09-06,143.0,151.0,145.0,151.0,344.0,50400.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-09-07,151.0,148.0,146.0,146.0,331.0,48426.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-09-10,146.0,150.0,148.0,150.0,200.0,29800.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-09-13,150.0,148.0,148.0,148.0,155.0,22940.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-09-14,148.0,146.0,140.0,144.0,4252.0,614732.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-09-17,144.0,144.0,140.0,142.0,2466.0,350748.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-09-18,142.0,144.0,142.0,142.0,174.0,24808.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-09-20,142.0,140.0,140.0,140.0,640.0,89600.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-09-24,140.0,142.0,138.0,138.0,1176.0,162990.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-09-25,138.0,140.0,139.0,140.0,3125.0,437375.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-09-26,140.0,138.0,138.0,138.0,10.0,1380.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-04,138.0,140.0,140.0,140.0,121.0,16940.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-09,140.0,138.0,136.0,136.0,478.0,65208.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-10,136.0,134.0,128.0,132.0,7025.0,917350.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-11,132.0,134.0,132.0,134.0,110.0,14540.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-12,134.0,134.0,133.0,133.0,1000.0,133500.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-16,133.0,143.0,135.0,143.0,4150.0,574350.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-17,143.0,144.0,138.0,138.0,1287.0,180486.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-18,138.0,140.0,135.0,140.0,1970.0,269845.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-22,140.0,144.0,142.0,142.0,208.0,29716.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-23,142.0,140.0,138.0,138.0,650.0,90200.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-24,138.0,140.0,138.0,138.0,1250.0,173600.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-25,138.0,136.0,134.0,134.0,1560.0,210220.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-29,134.0,138.0,132.0,138.0,3030.0,400080.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-30,138.0,138.0,138.0,138.0,150.0,20700.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-10-31,138.0,138.0,136.0,138.0,1500.0,206000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-01,138.0,136.0,134.0,134.0,734.0,99356.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-05,134.0,134.0,131.0,131.0,3419.0,455153.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-06,131.0,133.0,130.0,130.0,2991.0,392059.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-07,130.0,132.0,128.0,128.0,1111.0,145208.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-08,128.0,127.0,126.0,127.0,1410.0,178670.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-09,127.0,131.0,129.0,131.0,800.0,104420.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-12,131.0,135.0,133.0,133.0,1100.0,146536.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-13,133.0,136.0,133.0,133.0,2450.0,328000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-14,133.0,136.0,134.0,136.0,1754.0,237336.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-15,136.0,138.0,134.0,135.0,2746.0,372121.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-16,135.0,135.0,135.0,135.0,800.0,108000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-19,135.0,135.0,133.0,133.0,1000.0,133800.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-20,133.0,131.0,129.0,131.0,1190.0,155610.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-21,131.0,132.0,130.0,132.0,640.0,83480.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-22,132.0,134.0,132.0,132.0,534.0,70624.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-23,132.0,132.0,132.0,132.0,50.0,6600.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-26,132.0,134.0,132.0,134.0,381.0,50497.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-28,134.0,135.0,134.0,135.0,900.0,121100.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-29,135.0,140.0,137.0,137.0,3411.0,471044.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Commercial Bank,2017-11-30,137.0,139.0,139.0,139.0,300.0,41700.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFCL
