symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
JHAPA,Jhapa Energy Limited,Hydropower,2025-11-16,293.4,311.2,293.4,311.2,60.0,17957.0,6.07,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-11-17,305.3,342.3,305.3,342.3,130.0,43516.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-11-18,349.1,376.5,349.1,376.5,110.0,40740.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-11-19,384.0,414.1,384.0,414.1,120.0,48951.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-11-20,422.3,455.5,422.3,455.5,200.0,90283.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-11-23,464.6,501.0,464.6,501.0,250.0,124354.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-11-24,511.0,551.1,511.0,551.1,400.0,219456.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-11-25,562.1,606.2,562.1,606.2,550.0,332326.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-11-26,618.3,666.8,618.3,666.8,680.0,452233.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-11-27,680.1,733.4,680.1,733.4,940.0,687023.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-11-30,748.0,806.7,748.0,806.7,1280.0,1031134.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-01,822.8,887.3,822.8,887.3,870.0,770368.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-02,905.0,976.0,905.0,976.0,1260.0,1227309.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-03,976.0,1073.6,976.0,1073.6,1330.0,1424998.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-07,1095.0,1180.9,1095.0,1180.9,4200.0,4956815.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-08,1204.5,1298.9,1113.0,1298.9,70662.0,86206493.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-09,1324.0,1417.0,1225.1,1378.1,21580.0,29637768.0,6.1,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-10,1400.0,1400.0,1240.3,1250.0,40684.0,52851462.4,-9.3,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-11,1225.0,1240.0,1180.6,1220.7,41861.0,50818048.0,-2.34,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-14,1201.3,1315.5,1201.3,1259.8,27348.0,34714511.4,3.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-15,1234.7,1289.0,1234.7,1260.0,21461.0,27198508.2,0.02,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-16,1260.0,1279.0,1244.0,1260.0,10103.0,12741932.3,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-17,1250.0,1295.0,1247.2,1270.0,17332.0,21898572.7,0.79,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-18,1252.2,1277.0,1245.0,1255.0,13737.0,17274739.1,-1.18,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-21,1230.0,1259.0,1221.0,1245.0,17532.0,21692465.9,-0.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-22,1231.0,1240.0,1220.2,1240.0,9574.0,11756735.4,-0.4,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-23,1220.0,1240.9,1216.1,1236.0,12240.0,15032280.4,-0.32,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-24,1215.0,1243.0,1215.0,1230.0,4601.0,5646813.1,-0.49,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-28,1230.0,1251.6,1221.5,1247.8,12649.0,15599476.4,1.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-29,1248.0,1271.9,1228.8,1263.9,18557.0,23277144.0,1.29,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2025-12-31,1263.1,1295.0,1250.0,1285.0,19484.0,24917534.6,1.67,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-01,1275.0,1369.0,1275.0,1320.0,27353.0,36296977.0,2.72,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-04,1300.0,1366.0,1300.0,1359.0,33460.0,44843209.8,2.95,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-05,1331.9,1396.0,1331.9,1384.0,34752.0,47723067.4,1.84,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-06,1397.0,1475.0,1363.0,1368.0,30695.0,43105937.3,-1.16,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-07,1345.0,1389.0,1340.7,1380.0,21373.0,28984160.2,0.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-08,1353.0,1401.0,1353.0,1400.0,14467.0,20095988.5,1.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-12,1400.0,1507.0,1386.1,1470.0,31391.0,45924028.6,5.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-13,1490.0,1495.0,1397.0,1425.0,41790.0,60366813.0,-3.06,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-14,1409.0,1450.0,1404.0,1422.0,15101.0,21422678.5,-0.21,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-18,1407.0,1486.0,1407.0,1444.0,24476.0,35520207.3,1.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-20,1415.2,1510.0,1415.2,1499.9,36403.0,54135334.2,3.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-21,1470.0,1518.0,1455.0,1475.0,17270.0,25519527.0,-1.66,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-22,1490.0,1622.0,1464.0,1599.9,48436.0,73512519.8,8.47,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-25,1630.0,1749.0,1590.0,1680.0,26056.0,43558848.7,5.01,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-26,1700.0,1705.0,1600.0,1648.0,35321.0,58276039.1,-1.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-27,1648.0,1665.0,1535.0,1545.0,32137.0,51038177.2,-6.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-28,1538.0,1580.0,1490.1,1554.0,12947.0,19890077.4,0.58,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-01-29,1570.0,1581.0,1450.0,1473.0,17499.0,26275446.9,-5.21,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-02-01,1460.0,1469.9,1404.4,1420.0,11431.0,16287691.9,-3.6,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-02-02,1420.0,1560.0,1420.0,1514.0,13808.0,20612703.8,6.62,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-02-03,1520.0,1544.2,1450.4,1465.0,9305.0,13781448.7,-3.24,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-02-04,1445.0,1490.0,1417.1,1440.0,9170.0,13205575.5,-1.71,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-02-05,1440.0,1458.0,1416.1,1436.0,9240.0,13225126.7,-0.28,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
JHAPA,Jhapa Energy Limited,Hydropower,2026-02-08,1408.0,1487.0,1408.0,1445.0,7452.0,10912739.0,0.63,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/JHAPA
