date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7968,0.7968,0.0,0.3495,1.0,0.1899,0.2616,17.0,18.0,-0.045,0.3495,0.3495,0.3495,0.0,0.0
2023-01-24,0.8865,0.8865,0.0,-0.2721,0.0,0.3745,0.391,6.0,18.0,-0.0318,0.07739999999999997,0.07739999999999997,0.07739999999999997,0.0,0.0
2023-01-25,0.7697,0.7697,0.0,0.1352,1.0,0.2428,0.2801,9.0,24.0,-0.0205,0.21259999999999996,0.21259999999999996,0.21259999999999996,0.0,0.0
2023-01-26,0.816,0.816,0.0,-0.1675,0.0,0.3889,0.4675,8.0,18.0,0.0325,0.045099999999999946,0.045099999999999946,0.045099999999999946,0.0,0.0
2023-01-29,0.9239,0.9239,0.0,-0.2639,0.0,0.2281,0.3783,9.0,17.0,0.0,-0.21880000000000008,-0.21880000000000008,-0.21880000000000008,0.0,1.0
2023-01-30,0.6341,0.6341,0.0,0.2154,1.0,0.1515,0.1736,16.0,17.0,0.0078,-0.3529,-0.0034000000000000696,-0.0034000000000000696,0.0,1.0
2023-01-31,0.7356,0.7356,0.0,0.3011,1.0,0.1353,0.1934,16.0,17.0,-0.0278,0.22029999999999988,0.2976999999999999,0.2976999999999999,0.0,0.0
2023-02-01,0.8984,0.8984,0.0,0.056,1.0,0.2248,0.2933,8.0,27.0,-0.0055,0.1410999999999999,0.3536999999999999,0.3536999999999999,0.0,0.0
2023-02-02,0.9342,0.9342,0.0,0.404,1.0,0.3102,0.4927,14.0,16.0,0.02,0.7125999999999999,0.7576999999999999,0.7576999999999999,0.0,0.0
2023-02-05,0.9214,0.9214,0.0,-0.5674,0.0,0.1773,0.2913,14.0,12.0,-0.0041,0.4090999999999999,0.1902999999999999,0.1902999999999999,0.0,0.0
2023-02-06,0.9471,0.9471,0.0,-0.0222,0.0,0.1934,0.2591,11.0,18.0,-0.0234,0.1714999999999999,0.16809999999999992,0.16809999999999992,0.0,0.0
2023-02-07,0.8799,0.8799,0.0,0.2752,1.0,0.3217,0.4485,13.0,24.0,-0.0119,0.14559999999999992,0.4432999999999999,0.4432999999999999,0.0,0.0
2023-02-08,0.8959,0.8959,0.0,0.09,1.0,0.1438,0.211,12.0,18.0,-0.127,0.17959999999999993,0.5332999999999999,0.5332999999999999,0.0,0.0
2023-02-09,0.8498,0.8498,0.0,-0.0523,0.0,0.4084,0.4234,9.0,22.0,-0.0405,-0.2767000000000001,0.4809999999999999,0.4809999999999999,0.0,1.0
2023-02-12,0.6716,0.6716,0.0,-0.0899,0.0,0.1988,0.2109,13.0,22.0,0.0354,0.20079999999999992,0.3910999999999999,0.3910999999999999,0.0,0.0
2023-02-14,0.8053,0.8053,0.0,0.1364,1.0,0.5935,0.6139,8.0,21.0,-0.005,0.35939999999999994,0.5274999999999999,0.5274999999999999,0.0,0.0
2023-02-15,0.9149,0.9149,0.0,0.3258,1.0,0.3206,0.419,8.0,17.0,-0.01,0.4099999999999999,0.8533,0.8533,0.0,0.0
2023-02-16,0.811,0.811,0.0,-0.5561,0.0,0.1795,0.2864,21.0,7.0,0.0464,-0.2361000000000001,0.2971999999999999,0.2971999999999999,0.0,1.0
2023-02-20,0.6853,0.6853,0.0,-0.1916,0.0,0.1245,0.148,15.0,12.0,-0.0298,-0.3754000000000001,0.10559999999999992,0.10559999999999992,0.0,1.0
2023-02-22,0.6401,0.6401,0.0,-0.0798,0.0,0.2119,0.2296,11.0,22.0,-0.0044,-0.36530000000000007,0.02579999999999992,0.02579999999999992,0.0,1.0
2023-02-23,0.7953,0.7953,0.0,-0.4246,0.0,0.169,0.1922,11.0,24.0,-0.1523,-0.9263,-0.7483,-0.39880000000000004,0.0,1.0
2023-02-26,0.8169,0.8169,0.0,0.3292,1.0,0.1903,0.2833,14.0,22.0,-0.3153,-0.9229,-0.14700000000000002,-0.06960000000000005,0.0,1.0
2023-02-27,0.8857,0.8857,0.0,0.4488,1.0,0.1361,0.1941,20.0,12.0,0.0019,0.08200000000000002,0.16659999999999997,0.3791999999999999,0.0,0.0
2023-02-28,0.8938,0.8938,0.0,-0.0033,0.0,0.6439,0.7058,6.0,15.0,-0.004,0.2703,0.3307999999999999,0.3758999999999999,0.0,0.0
