date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.4155,0.4155,0.0,-0.0127,0.0,0.0805,0.0735,20.0,20.0,0.0252,-0.0127,-0.0127,-0.0127,0.0,1.0
2023-01-24,0.5933,0.5888,0.0045,0.0417,1.0,0.1517,0.1564,17.0,22.0,0.0324,0.029,0.029,0.029,0.00225,0.0
2023-01-25,0.4376,0.433,0.0046,-0.165,0.0,0.1151,0.1082,18.0,20.0,0.014,-0.136,-0.136,-0.136,0.0030333333333333336,1.0
2023-01-26,0.6773,0.6741,0.0031,-0.2191,0.0,0.4555,0.4482,16.0,24.0,0.0205,-0.35509999999999997,-0.35509999999999997,-0.35509999999999997,0.0030499999999999998,1.0
2023-01-29,0.3969,0.382,0.0149,0.0787,1.0,0.1325,0.0837,16.0,23.0,-0.0132,-0.2764,-0.2764,-0.2764,0.0054199999999999995,1.0
2023-01-30,0.7511,0.7463,0.0048,0.1044,1.0,0.3507,0.4313,18.0,22.0,-0.0215,-0.1593,-0.172,-0.172,0.005316666666666667,1.0
2023-01-31,0.5615,0.5615,0.0,-0.0345,0.0,0.1497,0.1638,16.0,19.0,-0.025,-0.2355,-0.2065,-0.2065,0.004557142857142857,1.0
2023-02-01,0.7314,0.7314,0.0,-0.2347,0.0,0.2023,0.2967,18.0,21.0,-0.0122,-0.30519999999999997,-0.4412,-0.4412,0.0039875,1.0
2023-02-02,0.5394,0.5353,0.0041,-0.3807,0.0,0.3387,0.3063,19.0,20.0,-0.0041,-0.4668,-0.8219,-0.8219,0.004,1.0
2023-02-05,0.6861,0.6815,0.0046,-0.3023,0.0,0.5245,0.491,16.0,22.0,-0.0023,-0.8477999999999999,-1.1242,-1.1242,0.004059999999999999,1.0
2023-02-06,0.5119,0.5119,0.0,-0.2233,0.0,0.2174,0.2115,13.0,25.0,-0.0119,-1.1755,-1.3475,-1.3475,0.0036909090909090906,1.0
2023-02-07,0.5997,0.5997,0.0,0.0952,1.0,0.4014,0.2959,9.0,31.0,-0.017,-1.0458,-1.2523,-1.2523,0.0033833333333333332,1.0
2023-02-08,0.6537,0.645,0.0088,0.3932,1.0,0.5329,0.4711,12.0,27.0,0.0222,-0.4179,-0.8591,-0.8591,0.0038,1.0
2023-02-09,0.897,0.897,0.0,-0.3163,0.0,0.3044,0.3451,9.0,26.0,0.0329,-0.3535,-1.1754,-1.1754,0.0035285714285714287,1.0
2023-02-12,0.6491,0.6236,0.0255,-0.4494,0.0,0.6901,0.536,12.0,26.0,-0.0264,-0.5005999999999999,-1.6248,-1.6248,0.004993333333333333,1.0
2023-02-14,0.7396,0.7284,0.0112,-0.3106,0.0,0.4744,0.4974,13.0,24.0,0.0173,-0.5879,-1.9354,-1.9354,0.00538125,1.0
2023-02-15,0.7153,0.711,0.0043,-0.2284,0.0,0.1979,0.2882,15.0,23.0,0.0086,-0.9115,-2.1638,-2.1638,0.005317647058823529,1.0
2023-02-16,0.7239,0.7198,0.0041,-0.1252,0.0,0.4132,0.4576,18.0,20.0,-0.0742,-1.4299,-2.289,-2.289,0.00525,1.0
2023-02-20,0.7305,0.7305,0.0,-0.1035,0.0,0.4348,0.4712,13.0,25.0,0.0119,-1.2171,-2.3925,-2.3925,0.004973684210526316,1.0
2023-02-22,0.6812,0.6806,0.0005,0.1233,1.0,0.4029,0.4242,20.0,20.0,0.0131,-0.6444,-2.2692,-2.2692,0.00475,1.0
2023-02-23,0.6142,0.5973,0.0168,-0.2291,0.0,0.5757,0.4615,16.0,23.0,-0.0011,-0.5629,-2.4856,-2.4983,0.0055899999999999995,1.0
2023-02-26,0.3569,0.3697,-0.0128,-0.1134,0.0,0.1197,0.1018,20.0,20.0,0.1018,-0.44789999999999996,-2.6407,-2.6117,0.004724999999999999,1.0
2023-02-27,0.6473,0.6805,-0.0332,-0.2923,0.0,0.0809,0.1282,25.0,14.0,0.0414,-0.615,-2.768,-2.904,0.002835,1.0
2023-02-28,0.7857,0.7857,0.0,-0.063,0.0,0.1576,0.2762,21.0,11.0,-0.0026,-0.5745,-2.6119,-2.967,0.0026799999999999997,1.0
2023-03-01,0.6368,0.6368,0.0,-0.4116,0.0,0.1622,0.2273,23.0,15.0,-0.1471,-1.1094,-3.1022,-3.3786,0.0019349999999999999,1.0
2023-03-02,0.8269,0.8261,0.0008,-0.2313,0.0,0.2479,0.3636,20.0,20.0,0.1659,-1.1116,-3.4379,-3.6099,0.001735,1.0
2023-03-05,0.7589,0.7589,0.0,-0.3112,0.0,0.3305,0.4194,16.0,22.0,-0.0557,-1.3094000000000001,-3.7146,-3.9211,0.001735,1.0
2023-03-07,0.8105,0.8105,0.0,-0.2377,0.0,0.2325,0.2825,14.0,18.0,-0.1443,-1.2548,-3.7176,-4.1588,0.001735,1.0
2023-03-09,0.6775,0.6775,0.0,-0.2636,0.0,0.1883,0.2563,16.0,19.0,0.0181,-1.4554,-3.6005000000000003,-4.4224,0.00153,1.0
2023-03-12,0.8572,0.8572,0.0,0.1212,1.0,0.1968,0.3081,12.0,20.0,-0.1077,-0.9226000000000001,-3.177,-4.3012,0.0012999999999999997,1.0
2023-03-13,0.7558,0.7558,0.0,-0.1859,0.0,0.0979,0.1165,16.0,15.0,0.0527,-0.8772,-3.1395999999999997,-4.4871,0.0012999999999999997,1.0
2023-03-14,0.7381,0.7381,0.0,-0.1352,0.0,0.2054,0.2844,16.0,15.0,0.0084,-0.7011999999999999,-3.37,-4.6223,0.0012999999999999997,1.0
2023-03-15,0.5123,0.5123,0.0,-0.1973,0.0,0.1355,0.1551,22.0,15.0,0.0267,-0.6607999999999999,-3.9605,-4.8196,0.0008599999999999999,1.0
2023-03-16,0.7949,0.7949,0.0,-0.026,0.0,0.3157,0.3958,10.0,20.0,-0.0526,-0.4232,-3.6702,-4.8456,0.0008599999999999999,1.0
2023-03-19,0.5455,0.5455,0.0,-0.1432,0.0,0.3942,0.3184,11.0,18.0,0.1002,-0.6876,-3.364,-4.9888,-0.000415,1.0
2023-03-20,0.5928,0.5928,0.0,-0.1958,0.0,0.2971,0.3128,18.0,14.0,0.0005,-0.6975,-3.2492,-5.1846,-0.000975,1.0
2023-03-22,0.8871,0.8561,0.031,-0.3325,0.0,0.5227,0.6161,8.0,32.0,-0.1099,-0.8948,-3.3533,-5.5171,0.0003599999999999999,1.0
2023-03-23,0.8503,0.8473,0.0029,-0.1572,0.0,0.1831,0.2121,18.0,22.0,-0.0192,-0.8547,-3.3853,-5.6743,0.0003,1.0
2023-03-26,0.6393,0.7321,-0.0927,-0.0571,0.0,0.0607,0.0724,32.0,8.0,-0.1042,-0.8858,-3.3388999999999998,-5.7314,-0.004335,1.0
2023-03-27,0.5944,0.602,-0.0076,-0.3881,0.0,0.2,0.2432,20.0,19.0,0.0636,-1.1307,-3.8503,-6.1195,-0.004739999999999999,1.0
2023-03-28,0.4933,0.5215,-0.0282,0.1069,1.0,0.0753,0.0834,25.0,13.0,0.0424,-0.8280000000000001,-3.5143,-6.0126,-0.006989999999999999,1.0
2023-03-29,0.4171,0.4171,0.0,0.1206,1.0,0.077,0.0749,27.0,13.0,0.0153,-0.3749,-3.2803,-5.892,-0.00635,1.0
2023-03-30,0.601,0.601,0.0,-0.0492,0.0,0.0639,0.0836,28.0,11.0,0.0179,-0.26689999999999997,-3.0372,-5.9412,-0.00469,1.0
2023-04-02,0.6509,0.6509,0.0,-0.3996,0.0,0.2626,0.3206,21.0,15.0,-0.1649,-0.6093999999999999,-3.3738,-6.3408,-0.00469,1.0
2023-04-03,0.7781,0.7781,0.0,-0.3077,0.0,0.2373,0.3578,20.0,16.0,0.0064,-0.5289999999999999,-3.2699,-6.6485,-0.00469,1.0
2023-04-04,0.7674,0.7674,0.0,-0.471,0.0,0.1403,0.2316,24.0,10.0,0.0075,-1.1069,-3.5096,-7.1195,-0.00473,1.0
2023-04-05,0.79,0.79,0.0,-0.443,0.0,0.282,0.3969,19.0,18.0,-0.0077,-1.6705,-3.6414,-7.5625,-0.00473,1.0
2023-04-06,0.6925,0.6925,0.0,-0.5393,0.0,0.2031,0.2686,17.0,20.0,-0.0216,-2.1605999999999996,-3.943,-8.1018,-0.00473,1.0
2023-04-09,0.8639,0.8639,0.0,-0.6494,0.0,0.5165,0.6143,18.0,20.0,0.0121,-2.4104,-4.328799999999999,-8.7512,-0.00473,1.0
2023-04-10,0.8066,0.8066,0.0,-0.346,0.0,0.3265,0.4471,20.0,14.0,-0.0616,-2.4486999999999997,-4.795999999999999,-9.097199999999999,-0.00473,1.0
2023-04-11,0.8532,0.8532,0.0,-0.3567,0.0,0.3516,0.481,16.0,19.0,-0.009,-2.3344,-4.966799999999999,-9.453899999999999,-0.00473,1.0
2023-04-12,0.6162,0.6367,-0.0205,-0.0545,0.0,0.0608,0.0661,31.0,8.0,0.0027,-1.9459,-4.8861,-9.5084,-0.005755,1.0
2023-04-13,0.5547,0.5616,-0.0069,0.0915,1.0,0.1426,0.1834,20.0,20.0,0.0104,-1.3151,-4.5973,-9.4169,-0.0060999999999999995,1.0
2023-04-16,0.8282,0.8282,0.0,-0.5936,0.0,0.2774,0.4158,21.0,15.0,0.031,-1.2593,-5.1649,-10.0105,-0.0060999999999999995,1.0
2023-04-17,0.7088,0.7088,0.0,-0.4558,0.0,0.3481,0.405,19.0,15.0,-0.0107,-1.3691,-5.4775,-10.4663,-0.0060999999999999995,1.0
2023-04-18,0.7009,0.6398,0.0611,-0.22,0.0,0.7143,0.5898,11.0,28.0,-0.0661,-1.2324,-5.5017,-10.6863,-0.0030449999999999995,1.0
2023-04-19,0.4704,0.4704,0.0,-0.1153,0.0,0.5265,0.3354,13.0,23.0,0.0,-1.2932,-5.2845,-10.8016,-0.004595,1.0
2023-04-20,0.7971,0.7971,0.0,-0.1769,0.0,0.6822,0.6534,7.0,16.0,-0.1299,-1.5615999999999999,-5.3042,-10.9785,-0.004739999999999999,1.0
2023-04-23,0.6641,0.6641,0.0,-0.0802,0.0,0.5102,0.4656,9.0,21.0,0.0496,-1.0482,-5.327299999999999,-11.0587,-0.00010499999999999954,1.0
2023-04-24,0.9258,0.9258,0.0,0.5191,1.0,0.5387,0.6314,6.0,18.0,-0.0106,-0.07329999999999992,-4.4201,-10.5396,0.00027500000000000045,1.0
2023-04-25,0.7759,0.7759,0.0,-0.25,0.0,0.6424,0.6149,6.0,16.0,0.069,-0.10329999999999992,-4.776999999999999,-10.7769,0.0016850000000000003,1.0
2023-04-26,0.8539,0.8539,0.0,-0.1896,0.0,0.3234,0.4547,10.0,16.0,0.1284,-0.17759999999999992,-5.0872,-11.0082,0.0016850000000000003,1.0
2023-04-27,0.2875,0.2875,0.0,-0.102,0.0,0.3576,0.145,7.0,19.0,0.02,-0.10269999999999992,-5.14,-10.9452,0.0016850000000000003,1.0
