date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,85.0,85.0,0.0,60.0,1.0,1.0,0.5,1.0,4.0,0.0,60.0,60.0,60.0,0.0,0.0
2023-01-29,50.0,50.0,0.0,50.0,1.0,1.0,0.5,1.0,1.0,0.0,110.0,110.0,110.0,0.0,0.0
2023-01-30,75.0,75.0,0.0,15.0,1.0,1.0,0.5,1.0,2.0,-60.0,125.0,125.0,125.0,0.0,0.0
2023-01-31,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,125.0,125.0,125.0,0.0,0.0
2023-02-02,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,125.0,125.0,125.0,0.0,0.0
2023-02-16,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,125.0,125.0,0.0,0.0
2023-02-20,150.0,150.0,0.0,75.0,1.0,0.4861,0.3333,4.0,3.0,100.0,90.0,200.0,200.0,0.0,0.0
2023-02-22,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,100.0,225.0,225.0,0.0,0.0
2023-02-26,50.0,50.0,0.0,25.0,1.0,0.5,0.25,2.0,2.0,0.0,125.0,250.0,250.0,0.0,0.0
2023-02-27,75.0,75.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,125.0,250.0,250.0,0.0,0.0
2023-02-28,130.0,130.0,0.0,30.0,1.0,1.0,0.5,1.0,2.0,0.0,155.0,280.0,280.0,0.0,0.0
2023-03-05,300.0,300.0,0.0,300.0,1.0,1.0,0.5,1.0,1.0,300.0,380.0,580.0,580.0,0.0,0.0
2023-03-07,110.0,110.0,0.0,60.0,1.0,1.0,0.5,1.0,2.0,0.0,415.0,640.0,640.0,0.0,0.0
2023-03-13,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,365.0,615.0,615.0,0.0,0.0
2023-03-16,50.0,50.0,0.0,25.0,1.0,1.0,0.5,1.0,2.0,0.0,390.0,640.0,640.0,0.0,0.0
2023-04-02,50.0,50.0,0.0,50.0,1.0,1.0,0.5,1.0,1.0,50.0,410.0,690.0,690.0,0.0,0.0
2023-04-03,100.0,100.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,100.0,110.0,690.0,690.0,0.0,0.0
2023-04-04,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,25.0,50.0,690.0,690.0,0.0,0.0
2023-04-05,125.0,125.0,0.0,75.0,1.0,0.68,0.4,2.0,2.0,100.0,150.0,765.0,765.0,0.0,0.0
2023-04-09,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,150.0,790.0,790.0,0.0,0.0
2023-04-17,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,125.0,755.0,815.0,0.0,0.0
2023-04-18,40.0,40.0,0.0,10.0,1.0,0.5312,0.3125,2.0,2.0,0.0,135.0,715.0,825.0,0.0,0.0
2023-04-19,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,25.0,160.0,725.0,850.0,0.0,0.0
2023-04-20,50.0,50.0,0.0,10.0,1.0,0.52,0.3,2.0,2.0,-20.0,95.0,735.0,860.0,0.0,0.0
2023-04-23,75.0,75.0,0.0,75.0,1.0,0.6089,0.3667,2.0,2.0,20.0,145.0,810.0,935.0,0.0,0.0
2023-04-24,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,145.0,835.0,960.0,0.0,0.0
2023-04-25,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,25.0,135.0,760.0,960.0,0.0,0.0
2023-04-27,50.0,50.0,0.0,25.0,1.0,1.0,0.5,1.0,2.0,-25.0,135.0,760.0,985.0,0.0,0.0
2023-05-02,75.0,75.0,0.0,25.0,1.0,1.0,0.5,1.0,3.0,0.0,150.0,760.0,1010.0,0.0,0.0
2023-05-03,15.0,15.0,0.0,15.0,1.0,1.0,0.5,1.0,1.0,0.0,90.0,775.0,1025.0,0.0,0.0
2023-05-04,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,25.0,65.0,745.0,1025.0,0.0,0.0
2023-05-07,50.0,50.0,0.0,50.0,1.0,1.0,0.3333,1.0,1.0,50.0,115.0,495.0,1075.0,0.0,0.0
2023-05-10,50.0,50.0,0.0,50.0,1.0,1.0,0.5,1.0,1.0,50.0,140.0,485.0,1125.0,0.0,0.0
2023-05-15,100.0,100.0,0.0,0.0,0.0,0.375,0.25,3.0,3.0,25.0,115.0,510.0,1125.0,0.0,0.0
2023-05-16,75.0,75.0,0.0,25.0,1.0,0.5556,0.3333,2.0,2.0,0.0,125.0,510.0,1150.0,0.0,0.0
2023-05-17,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,-25.0,125.0,460.0,1150.0,0.0,0.0
2023-05-18,45.0,45.0,0.0,20.0,1.0,0.5062,0.2778,2.0,2.0,20.0,95.0,480.0,1170.0,0.0,0.0
2023-05-24,30.0,30.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,45.0,480.0,1170.0,0.0,0.0
2023-05-28,60.0,60.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,60.0,45.0,405.0,1170.0,0.0,0.0
2023-05-30,100.0,100.0,0.0,25.0,1.0,1.0,0.5,1.0,2.0,0.0,45.0,405.0,1195.0,0.0,0.0
2023-06-01,55.0,55.0,0.0,55.0,1.0,1.0,0.3667,1.0,2.0,0.0,100.0,435.0,1250.0,0.0,0.0
2023-06-04,100.0,100.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,100.0,80.0,425.0,1250.0,0.0,0.0
2023-06-05,20.0,20.0,0.0,20.0,1.0,1.0,0.5,1.0,1.0,20.0,100.0,420.0,1270.0,0.0,0.0
2023-06-06,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,-25.0,100.0,410.0,1270.0,0.0,0.0
2023-06-07,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,-25.0,75.0,335.0,1270.0,0.0,0.0
2023-06-12,50.0,50.0,0.0,50.0,1.0,0.5,0.25,2.0,1.0,25.0,70.0,360.0,1320.0,0.0,0.0
2023-06-13,60.0,60.0,0.0,60.0,1.0,1.0,0.5,1.0,1.0,0.0,130.0,420.0,1380.0,0.0,0.0
2023-06-20,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,-25.0,85.0,370.0,1355.0,0.0,0.0
2023-06-25,75.0,75.0,0.0,25.0,1.0,0.5556,0.3333,2.0,2.0,50.0,110.0,370.0,1380.0,0.0,0.0
2023-06-27,50.0,50.0,0.0,25.0,1.0,1.0,0.5,1.0,2.0,50.0,135.0,380.0,1405.0,0.0,0.0
2023-07-02,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,85.0,380.0,1405.0,0.0,0.0
2023-07-03,25.0,25.0,0.0,15.0,1.0,0.52,0.15,2.0,1.0,15.0,40.0,345.0,1420.0,0.0,0.0
2023-07-04,50.0,50.0,0.0,-25.0,0.0,1.0,0.5,1.0,2.0,0.0,40.0,270.0,1395.0,0.0,0.0
2023-07-12,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,15.0,270.0,1395.0,0.0,0.0
2023-07-13,45.0,45.0,0.0,0.0,0.0,0.4074,0.2778,3.0,2.0,-20.0,-10.0,245.0,1395.0,0.0,1.0
2023-07-16,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-10.0,245.0,1395.0,0.0,1.0
2023-07-17,40.0,40.0,0.0,0.0,0.0,0.5312,0.3125,2.0,2.0,0.0,-25.0,225.0,1395.0,0.0,1.0
2023-07-19,70.0,70.0,0.0,-25.0,0.0,1.0,0.5,1.0,3.0,0.0,-25.0,200.0,1370.0,0.0,1.0
2023-07-20,50.0,50.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-25.0,200.0,1370.0,0.0,1.0
2023-07-24,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-25.0,175.0,1370.0,0.0,1.0
2023-07-25,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,-50.0,95.0,1285.0,0.0,1.0
2023-07-30,50.0,50.0,0.0,25.0,1.0,0.5,0.25,2.0,2.0,0.0,-25.0,120.0,1260.0,0.0,1.0
2023-08-01,225.0,225.0,0.0,80.0,1.0,0.8025,0.4444,2.0,3.0,-120.0,80.0,180.0,1325.0,0.0,0.0
2023-08-02,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,180.0,1325.0,0.0,0.0
2023-08-06,40.0,40.0,0.0,0.0,0.0,0.5312,0.3125,2.0,2.0,0.0,80.0,180.0,1325.0,0.0,0.0
2023-08-07,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,105.0,130.0,1325.0,0.0,0.0
2023-08-08,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,80.0,70.0,1250.0,0.0,0.0
2023-08-09,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,95.0,1225.0,0.0,0.0
2023-08-10,50.0,50.0,0.0,50.0,1.0,1.0,0.5,1.0,1.0,0.0,50.0,120.0,1250.0,0.0,0.0
2023-08-16,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,25.0,70.0,1225.0,0.0,0.0
2023-08-20,270.0,270.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,25.0,70.0,1195.0,0.0,0.0
2023-08-22,75.0,75.0,0.0,25.0,1.0,0.5556,0.3333,2.0,2.0,0.0,50.0,80.0,920.0,0.0,0.0
2023-08-23,145.0,145.0,0.0,-20.0,0.0,0.3936,0.2586,3.0,3.0,0.0,30.0,85.0,840.0,0.0,0.0
2023-08-27,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,-45.0,60.0,840.0,0.0,1.0
2023-08-28,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,60.0,815.0,0.0,1.0
2023-08-29,50.0,50.0,0.0,50.0,1.0,1.0,0.5,1.0,1.0,0.0,30.0,110.0,815.0,0.0,0.0
2023-09-03,50.0,50.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,5.0,110.0,815.0,0.0,0.0
2023-09-04,20.0,20.0,0.0,-20.0,0.0,1.0,0.5,1.0,1.0,0.0,5.0,115.0,795.0,0.0,0.0
2023-09-05,65.0,65.0,0.0,40.0,1.0,0.5266,0.3077,2.0,2.0,0.0,70.0,155.0,760.0,0.0,0.0
2023-09-10,50.0,50.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,70.0,155.0,735.0,0.0,0.0
2023-09-11,50.0,50.0,0.0,25.0,1.0,1.0,0.5,1.0,2.0,0.0,45.0,205.0,735.0,0.0,0.0
2023-09-17,60.0,60.0,0.0,-60.0,0.0,0.5139,0.2917,2.0,2.0,0.0,-15.0,120.0,665.0,0.0,1.0
2023-09-21,80.0,80.0,0.0,55.0,1.0,1.0,0.5,1.0,3.0,0.0,60.0,95.0,695.0,0.0,0.0
2023-09-24,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,20.0,95.0,685.0,0.0,0.0
2023-09-25,100.0,100.0,0.0,-50.0,0.0,0.5,0.25,2.0,1.0,-100.0,-30.0,45.0,560.0,0.0,1.0
2023-09-26,100.0,100.0,0.0,-100.0,0.0,1.0,0.5,1.0,1.0,0.0,-155.0,-55.0,435.0,0.0,1.0
2023-09-27,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,-120.0,-80.0,410.0,0.0,1.0
2023-10-01,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,-200.0,-105.0,360.0,0.0,1.0
2023-10-02,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-200.0,-155.0,335.0,0.0,1.0
2023-10-08,115.0,115.0,0.0,-75.0,0.0,0.5463,0.3261,2.0,1.0,0.0,-225.0,-205.0,245.0,0.0,1.0
2023-10-09,50.0,50.0,0.0,0.0,0.0,0.5,0.25,2.0,1.0,0.0,-125.0,-205.0,245.0,0.0,1.0
2023-10-11,50.0,50.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-100.0,-230.0,195.0,0.0,1.0
2023-10-17,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,-50.0,-185.0,170.0,0.0,1.0
2023-10-29,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,-75.0,-185.0,145.0,0.0,1.0
2023-11-01,10.0,10.0,0.0,10.0,1.0,1.0,0.5,1.0,1.0,0.0,10.0,-175.0,130.0,0.0,0.0
2023-11-05,250.0,250.0,0.0,200.0,1.0,0.68,0.4,2.0,2.0,0.0,210.0,-25.0,330.0,0.0,0.0
2023-11-06,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,210.0,-25.0,310.0,0.0,0.0
2023-11-22,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,185.0,-5.0,310.0,0.0,0.0
2023-11-30,40.0,40.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,-40.0,210.0,-45.0,310.0,0.0,0.0
2023-12-03,110.0,110.0,0.0,90.0,1.0,0.8347,0.4545,2.0,2.0,0.0,290.0,45.0,375.0,0.0,0.0
2023-12-11,27.0,27.0,0.0,27.0,1.0,1.0,0.5,1.0,1.0,0.0,117.0,47.0,347.0,0.0,0.0
2023-12-12,25.0,25.0,0.0,-25.0,0.0,1.0,0.5,1.0,1.0,0.0,92.0,82.0,322.0,0.0,0.0
2023-12-14,50.0,50.0,0.0,25.0,1.0,0.5,0.25,2.0,1.0,0.0,117.0,52.0,327.0,0.0,0.0
2023-12-17,75.0,75.0,0.0,0.0,0.0,0.3333,0.1667,3.0,3.0,0.0,117.0,52.0,327.0,0.0,0.0
2023-12-19,10.0,10.0,0.0,10.0,1.0,1.0,0.5,1.0,1.0,0.0,37.0,112.0,337.0,0.0,0.0
2023-12-20,50.0,50.0,0.0,-50.0,0.0,1.0,0.25,1.0,1.0,0.0,-40.0,162.0,237.0,0.0,1.0
2023-12-21,35.0,35.0,0.0,-25.0,0.0,0.5918,0.3571,2.0,2.0,0.0,-40.0,162.0,152.0,0.0,1.0
2023-12-24,75.0,75.0,0.0,-75.0,0.0,0.5556,0.3333,2.0,2.0,0.0,-140.0,112.0,102.0,0.0,1.0
2023-12-27,35.0,35.0,0.0,-25.0,0.0,0.5918,0.3571,2.0,2.0,-25.0,-165.0,87.0,52.0,0.0,1.0
2024-01-01,25.0,25.0,0.0,15.0,1.0,0.52,0.3,2.0,1.0,0.0,-160.0,177.0,42.0,0.0,1.0
2024-01-03,25.0,25.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,-110.0,177.0,42.0,0.0,1.0
2024-01-07,25.0,25.0,0.0,25.0,1.0,1.0,0.5,1.0,1.0,0.0,-60.0,202.0,52.0,0.0,1.0
