date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,11805.0,11805.0,0.0,-3215.0,0.0,0.1096,0.0845,20.0,14.0,-3900.0,-3215.0,-3215.0,-3215.0,0.0,1.0
2023-01-24,14521.0,14521.0,0.0,6240.0,1.0,0.2181,0.1763,15.0,19.0,750.0,3025.0,3025.0,3025.0,0.0,0.0
2023-01-25,10645.0,10645.0,0.0,-3915.0,0.0,0.273,0.1609,15.0,18.0,-497.0,-890.0,-890.0,-890.0,0.0,1.0
2023-01-26,4330.0,4330.0,0.0,-966.0,0.0,0.1721,0.0984,11.0,13.0,193.0,-1856.0,-1856.0,-1856.0,0.0,1.0
2023-01-29,5570.0,5570.0,0.0,-2770.0,0.0,0.2611,0.2032,13.0,11.0,500.0,-4626.0,-4626.0,-4626.0,0.0,1.0
2023-01-30,13820.0,13820.0,0.0,-6466.0,0.0,0.1244,0.0996,26.0,9.0,-3189.0,-7877.0,-11092.0,-11092.0,0.0,1.0
2023-01-31,9272.0,9272.0,0.0,-257.0,0.0,0.348,0.2131,9.0,16.0,-20.0,-14374.0,-11349.0,-11349.0,0.0,1.0
2023-02-01,5571.0,5571.0,0.0,1697.0,1.0,0.1242,0.1134,14.0,11.0,190.0,-8762.0,-9652.0,-9652.0,0.0,1.0
2023-02-02,3788.0,3788.0,0.0,807.0,1.0,0.2689,0.2134,8.0,8.0,30.0,-6989.0,-8845.0,-8845.0,0.0,1.0
2023-02-05,5560.0,5560.0,0.0,-160.0,0.0,0.0998,0.0828,19.0,8.0,605.0,-4379.0,-9005.0,-9005.0,0.0,1.0
2023-02-06,3802.0,3802.0,0.0,1235.0,1.0,0.1593,0.1145,13.0,6.0,0.0,3322.0,-7770.0,-7770.0,0.0,0.0
2023-02-07,7423.0,7423.0,0.0,124.0,1.0,0.1395,0.0933,14.0,17.0,-356.0,3703.0,-7646.0,-7646.0,0.0,0.0
2023-02-08,12346.0,12346.0,0.0,-1621.0,0.0,0.1858,0.1203,18.0,17.0,-595.0,385.0,-9267.0,-9267.0,0.0,0.0
2023-02-09,13070.0,13070.0,0.0,1648.0,1.0,0.1592,0.1136,17.0,13.0,927.0,1226.0,-7619.0,-7619.0,0.0,0.0
2023-02-12,15727.0,15727.0,0.0,347.0,1.0,0.1128,0.0854,20.0,19.0,-874.0,1733.0,-7272.0,-7272.0,0.0,0.0
2023-02-14,6570.0,6570.0,0.0,3045.0,1.0,0.1391,0.0986,14.0,8.0,-30.0,3543.0,-4227.0,-4227.0,0.0,0.0
2023-02-15,13790.0,13790.0,0.0,8999.0,1.0,0.1943,0.1536,22.0,10.0,-300.0,12418.0,4772.0,4772.0,0.0,0.0
2023-02-16,8800.0,8800.0,0.0,3249.0,1.0,0.1284,0.0915,19.0,11.0,1710.0,17288.0,8021.0,8021.0,0.0,0.0
2023-02-20,4459.0,4459.0,0.0,-345.0,0.0,0.1194,0.0901,17.0,16.0,705.0,15295.0,7676.0,7676.0,0.0,0.0
2023-02-22,3810.0,3810.0,0.0,1640.0,1.0,0.2759,0.1947,7.0,10.0,1743.0,16588.0,9316.0,9316.0,0.0,0.0
2023-02-23,2787.0,2787.0,0.0,-1682.0,0.0,0.2999,0.2303,13.0,14.0,-85.0,11861.0,10849.0,7634.0,0.0,0.0
2023-02-26,7936.0,7936.0,0.0,-150.0,0.0,0.1601,0.1429,21.0,8.0,-1231.0,2712.0,4459.0,7484.0,0.0,0.0
2023-02-27,6209.0,6209.0,0.0,-2629.0,0.0,0.2615,0.1422,12.0,11.0,-142.0,-3166.0,5745.0,4855.0,0.0,1.0
2023-02-28,3077.0,3077.0,0.0,-2122.0,0.0,0.2094,0.1231,12.0,6.0,10.0,-4943.0,4589.0,2733.0,0.0,1.0
2023-03-01,1564.0,1564.0,0.0,-598.0,0.0,0.2259,0.1797,9.0,7.0,-90.0,-7181.0,6761.0,2135.0,0.0,1.0
2023-03-02,2396.0,2396.0,0.0,-547.0,0.0,0.148,0.0926,13.0,9.0,325.0,-6046.0,12680.0,1588.0,0.0,1.0
2023-03-05,1270.0,1270.0,0.0,590.0,1.0,0.1677,0.0725,8.0,4.0,300.0,-5306.0,13527.0,2178.0,0.0,1.0
2023-03-07,2425.0,2425.0,0.0,1950.0,1.0,0.2297,0.1883,9.0,9.0,410.0,-727.0,13780.0,4128.0,0.0,1.0
2023-03-09,4140.0,4140.0,0.0,435.0,1.0,0.1804,0.1363,13.0,11.0,-545.0,1830.0,13408.0,4563.0,0.0,0.0
2023-03-12,4079.0,4079.0,0.0,242.0,1.0,0.1107,0.0819,15.0,9.0,24.0,2670.0,13810.0,4805.0,0.0,0.0
2023-03-13,1496.0,1496.0,0.0,421.0,1.0,0.1177,0.0903,12.0,6.0,41.0,3638.0,12996.0,5226.0,0.0,0.0
2023-03-14,1780.0,1780.0,0.0,890.0,1.0,0.2763,0.1963,5.0,7.0,750.0,3938.0,13762.0,6116.0,0.0,0.0
2023-03-15,1692.0,1692.0,0.0,-571.0,0.0,0.1837,0.1032,9.0,6.0,-391.0,1417.0,14812.0,5545.0,0.0,0.0
2023-03-16,1578.0,1578.0,0.0,-308.0,0.0,0.3953,0.2607,4.0,8.0,0.0,674.0,12856.0,5237.0,0.0,0.0
2023-03-19,1574.0,1574.0,0.0,546.0,1.0,0.1653,0.1409,10.0,4.0,197.0,978.0,13055.0,5783.0,0.0,0.0
2023-03-20,2950.0,2950.0,0.0,845.0,1.0,0.2475,0.1387,8.0,8.0,1000.0,1402.0,10855.0,6628.0,0.0,0.0
2023-03-22,2145.0,2145.0,0.0,-520.0,0.0,0.2686,0.2179,8.0,7.0,0.0,-8.0,1336.0,6108.0,0.0,1.0
2023-03-23,1142.0,1142.0,0.0,-282.0,0.0,0.2335,0.1742,8.0,5.0,100.0,281.0,-2195.0,5826.0,0.0,0.0
2023-03-26,787.0,787.0,0.0,32.0,1.0,0.4306,0.306,8.0,5.0,77.0,621.0,-1818.0,5858.0,0.0,0.0
2023-03-27,19219.0,19219.0,0.0,-15750.0,0.0,0.4016,0.3066,19.0,11.0,0.0,-15675.0,-19208.0,-9892.0,0.0,1.0
2023-03-28,3335.0,3335.0,0.0,905.0,1.0,0.1675,0.1074,13.0,8.0,20.0,-15615.0,-16621.0,-8987.0,0.0,1.0
2023-03-29,810.0,810.0,0.0,-29.0,0.0,0.1414,0.1087,10.0,4.0,30.0,-15124.0,-16500.0,-9016.0,0.0,1.0
2023-03-30,3092.0,3092.0,0.0,2490.0,1.0,0.2581,0.1843,11.0,9.0,50.0,-12352.0,-11381.0,-6526.0,0.0,1.0
2023-04-02,10145.0,10145.0,0.0,-255.0,0.0,0.1969,0.1378,17.0,7.0,135.0,-12639.0,-9514.0,-6781.0,0.0,1.0
2023-04-03,450.0,450.0,0.0,160.0,1.0,0.201,0.0909,6.0,6.0,100.0,3271.0,-8756.0,-6621.0,0.0,0.0
2023-04-04,3262.0,3262.0,0.0,2882.0,1.0,0.263,0.1803,13.0,5.0,30.0,5248.0,-5327.0,-3739.0,0.0,0.0
2023-04-05,195.0,195.0,0.0,85.0,1.0,0.403,0.2821,4.0,5.0,0.0,5362.0,-5832.0,-3654.0,0.0,0.0
2023-04-06,1165.0,1165.0,0.0,-400.0,0.0,0.3403,0.2372,6.0,6.0,70.0,2472.0,-8182.0,-4054.0,0.0,0.0
2023-04-09,2745.0,2745.0,0.0,128.0,1.0,0.3511,0.194,9.0,6.0,1560.0,2855.0,-8489.0,-3926.0,0.0,0.0
2023-04-10,1026.0,1026.0,0.0,-46.0,0.0,0.3107,0.2026,7.0,9.0,0.0,2649.0,-8777.0,-3972.0,0.0,0.0
2023-04-11,1369.0,1369.0,0.0,566.0,1.0,0.1779,0.1415,7.0,5.0,410.0,333.0,-8632.0,-3406.0,0.0,0.0
2023-04-12,7668.0,7668.0,0.0,1086.0,1.0,0.1666,0.1066,13.0,15.0,285.0,1334.0,-8436.0,-2320.0,0.0,0.0
2023-04-13,6370.0,6370.0,0.0,495.0,1.0,0.0936,0.0822,19.0,6.0,510.0,2229.0,-7370.0,-1825.0,0.0,0.0
2023-04-16,1190.0,1190.0,0.0,405.0,1.0,0.2888,0.1815,8.0,4.0,-235.0,2506.0,-6657.0,-1420.0,0.0,0.0
2023-04-17,3015.0,3015.0,0.0,330.0,1.0,0.3209,0.2526,7.0,6.0,-1095.0,2882.0,-6873.0,-1090.0,0.0,0.0
2023-04-18,1775.0,1775.0,0.0,50.0,1.0,0.2896,0.1871,9.0,4.0,350.0,2366.0,-7668.0,-1040.0,0.0,0.0
2023-04-19,1427.0,1427.0,0.0,630.0,1.0,0.2747,0.1123,7.0,7.0,0.0,1910.0,-6518.0,-410.0,0.0,0.0
2023-04-20,340.0,340.0,0.0,-145.0,0.0,0.266,0.2113,8.0,5.0,-10.0,1270.0,-6381.0,-555.0,0.0,0.0
2023-04-23,2972.0,2972.0,0.0,-10.0,0.0,0.2216,0.1682,6.0,7.0,375.0,855.0,-6423.0,-565.0,0.0,0.0
2023-04-24,1030.0,1030.0,0.0,25.0,1.0,0.3384,0.2619,8.0,8.0,200.0,550.0,9352.0,-540.0,0.0,0.0
2023-04-25,474.0,474.0,0.0,-414.0,0.0,0.7744,0.3988,3.0,3.0,-424.0,86.0,8033.0,2261.0,0.0,0.0
2023-04-26,2093.0,2093.0,0.0,931.0,1.0,0.3257,0.1905,6.0,8.0,-432.0,387.0,8993.0,-3048.0,0.0,0.0
2023-04-27,2515.0,2515.0,0.0,-965.0,0.0,0.9764,0.4751,3.0,6.0,0.0,-433.0,5538.0,-98.0,0.0,1.0
2023-04-30,3060.0,3060.0,0.0,2048.0,1.0,0.1873,0.1608,9.0,9.0,-10.0,1625.0,7841.0,2916.0,0.0,0.0
2023-05-02,2377.0,2377.0,0.0,-398.0,0.0,0.2235,0.1762,9.0,5.0,-1235.0,1202.0,7283.0,5288.0,0.0,0.0
2023-05-03,1348.0,1348.0,0.0,-977.0,0.0,0.3022,0.1727,5.0,6.0,0.0,639.0,3424.0,10777.0,0.0,0.0
2023-05-04,1339.0,1339.0,0.0,-360.0,0.0,0.2879,0.1662,8.0,6.0,-94.0,-652.0,2979.0,10674.0,0.0,1.0
2023-05-07,41.0,41.0,0.0,-30.0,0.0,0.3694,0.2439,3.0,3.0,0.0,283.0,3349.0,8947.0,0.0,0.0
2023-05-08,1310.0,1310.0,0.0,-760.0,0.0,0.6003,0.3759,6.0,7.0,50.0,-2525.0,2461.0,7380.0,0.0,1.0
2023-05-09,350.0,350.0,0.0,50.0,1.0,0.4286,0.2778,3.0,4.0,0.0,-2077.0,2557.0,7590.0,0.0,1.0
2023-05-10,1161.0,1161.0,0.0,-379.0,0.0,0.2372,0.1766,9.0,7.0,-16.0,-1479.0,1612.0,5976.0,0.0,1.0
2023-05-11,1675.0,1675.0,0.0,395.0,1.0,0.3059,0.2309,7.0,7.0,0.0,-724.0,921.0,6247.0,0.0,1.0
2023-05-14,1425.0,1425.0,0.0,615.0,1.0,0.1932,0.1538,9.0,5.0,-200.0,-79.0,1041.0,8483.0,0.0,1.0
2023-05-15,1035.0,1035.0,0.0,415.0,1.0,0.2513,0.1852,10.0,6.0,0.0,1096.0,1051.0,7250.0,0.0,0.0
2023-05-16,685.0,685.0,0.0,65.0,1.0,0.2664,0.2,6.0,3.0,0.0,1111.0,786.0,6968.0,0.0,0.0
2023-05-17,2490.0,2490.0,0.0,-380.0,0.0,0.3132,0.1974,5.0,6.0,0.0,1110.0,356.0,3543.0,0.0,0.0
2023-05-18,4612.0,4612.0,0.0,-1280.0,0.0,0.1906,0.1401,14.0,10.0,0.0,-565.0,-1554.0,-6736.0,0.0,1.0
2023-05-21,3434.0,3434.0,0.0,220.0,1.0,0.2141,0.1427,8.0,11.0,-110.0,-960.0,-1189.0,-9765.0,0.0,1.0
2023-05-22,1150.0,1150.0,0.0,-485.0,0.0,0.1612,0.1198,8.0,7.0,-200.0,-1860.0,-1664.0,-9905.0,0.0,1.0
2023-05-23,4308.0,4308.0,0.0,-1159.0,0.0,0.3404,0.2165,11.0,14.0,310.0,-3084.0,-2848.0,-12704.0,0.0,1.0
2023-05-24,2494.0,2494.0,0.0,548.0,1.0,0.1727,0.1135,10.0,11.0,0.0,-2156.0,-1886.0,-10474.0,0.0,1.0
2023-05-28,8493.0,8493.0,0.0,3068.0,1.0,0.1126,0.0777,15.0,13.0,0.0,2192.0,251.0,-7256.0,0.0,0.0
2023-05-30,5405.0,5405.0,0.0,700.0,1.0,0.1257,0.0938,17.0,9.0,1188.0,2672.0,1916.0,-3927.0,0.0,0.0
2023-05-31,5171.0,5171.0,0.0,-914.0,0.0,0.3063,0.2429,11.0,9.0,0.0,2243.0,-1046.0,-2719.0,0.0,0.0
2023-06-01,8035.0,8035.0,0.0,510.0,1.0,0.2021,0.1578,14.0,14.0,-300.0,3912.0,-138.0,-1611.0,0.0,0.0
2023-06-04,2234.0,2234.0,0.0,104.0,1.0,0.2931,0.2033,9.0,8.0,0.0,3468.0,943.0,-960.0,0.0,0.0
2023-06-05,3940.0,3940.0,0.0,1720.0,1.0,0.162,0.0954,14.0,16.0,-290.0,2120.0,3023.0,170.0,0.0,0.0
2023-06-06,1755.0,1755.0,0.0,1040.0,1.0,0.2504,0.1538,6.0,4.0,0.0,2460.0,4093.0,-740.0,0.0,0.0
2023-06-07,4905.0,4905.0,0.0,4110.0,1.0,0.6611,0.3013,7.0,14.0,3950.0,7484.0,8963.0,2935.0,0.0,0.0
2023-06-08,4739.0,4739.0,0.0,2141.0,1.0,0.4008,0.2409,5.0,13.0,0.0,9115.0,11054.0,4834.0,0.0,0.0
2023-06-11,11865.0,11865.0,0.0,-3637.0,0.0,0.1442,0.0782,15.0,23.0,150.0,5374.0,7796.0,776.0,0.0,0.0
2023-06-12,8216.0,8216.0,0.0,-4206.0,0.0,0.2284,0.1234,14.0,17.0,-2029.0,-552.0,3195.0,-4320.0,0.0,1.0
2023-06-13,5553.0,5553.0,0.0,-515.0,0.0,0.108,0.0837,19.0,16.0,-1108.0,-2107.0,2065.0,-4264.0,0.0,1.0
2023-06-14,9795.0,9795.0,0.0,3076.0,1.0,0.1613,0.0749,12.0,14.0,-110.0,-3141.0,4726.0,-880.0,0.0,1.0
2023-06-15,6569.0,6569.0,0.0,1604.0,1.0,0.1392,0.1094,17.0,7.0,-100.0,-3678.0,6265.0,178.0,0.0,1.0
2023-06-18,7840.0,7840.0,0.0,865.0,1.0,0.0966,0.0592,15.0,11.0,450.0,824.0,7510.0,198.0,0.0,0.0
2023-06-19,12873.0,12873.0,0.0,1677.0,1.0,0.1605,0.094,15.0,21.0,304.0,6707.0,10467.0,2395.0,0.0,0.0
2023-06-20,15337.0,15337.0,0.0,-4231.0,0.0,0.13,0.0779,19.0,19.0,-1400.0,2991.0,6016.0,-1554.0,0.0,0.0
2023-06-21,4570.0,4570.0,0.0,1096.0,1.0,0.1585,0.1131,12.0,14.0,-99.0,1011.0,7597.0,-490.0,0.0,0.0
2023-06-22,5061.0,5061.0,0.0,1555.0,1.0,0.1495,0.1102,14.0,13.0,-115.0,962.0,10311.0,16815.0,0.0,0.0
2023-06-25,10903.0,10903.0,0.0,-1313.0,0.0,0.0875,0.0525,17.0,16.0,1193.0,-1216.0,8450.0,14597.0,0.0,1.0
2023-06-26,13581.0,13581.0,0.0,3156.0,1.0,0.1044,0.0786,20.0,18.0,280.0,263.0,8538.0,17782.0,0.0,0.0
2023-06-27,8612.0,8612.0,0.0,-4598.0,0.0,0.1467,0.0898,14.0,13.0,10.0,-104.0,3240.0,10694.0,0.0,1.0
2023-06-28,9106.0,9106.0,0.0,-3414.0,0.0,0.1381,0.0945,19.0,14.0,65.0,-4614.0,740.0,7535.0,0.0,1.0
2023-07-02,9725.0,9725.0,0.0,-2420.0,0.0,0.1621,0.1331,16.0,12.0,50.0,-8589.0,-2190.0,4955.0,0.0,1.0
2023-07-03,5054.0,5054.0,0.0,-2843.0,0.0,0.1228,0.0798,15.0,13.0,-30.0,-10119.0,-5137.0,-770.0,0.0,1.0
2023-07-04,7010.0,7010.0,0.0,3275.0,1.0,0.1458,0.1305,16.0,10.0,0.0,-10000.0,-3582.0,2420.0,0.0,1.0
2023-07-05,18834.0,18834.0,0.0,-9257.0,0.0,0.3864,0.2534,11.0,16.0,-6573.0,-14659.0,-13879.0,-6437.0,0.0,1.0
2023-07-06,2795.0,2795.0,0.0,117.0,1.0,0.096,0.0447,14.0,11.0,-140.0,-11128.0,-17872.0,-6448.0,0.0,1.0
2023-07-09,6600.0,6600.0,0.0,-1567.0,0.0,0.2012,0.1738,19.0,12.0,280.0,-10275.0,-21580.0,-7969.0,0.0,1.0
2023-07-10,3492.0,3492.0,0.0,-927.0,0.0,0.1985,0.1383,11.0,11.0,370.0,-8359.0,-18870.0,-9462.0,0.0,1.0
2023-07-11,21801.0,21579.0,0.0037,9499.0,1.0,0.1281,0.0776,18.0,22.0,-791.0,-2135.0,-5165.0,-1049.0,0.000185,1.0
2023-07-12,11342.0,11342.0,0.0,1514.0,1.0,0.1645,0.1145,12.0,24.0,-210.0,8636.0,-3136.0,-30.0,0.000185,0.0
2023-07-13,11240.0,11240.0,0.0,-3408.0,0.0,0.1466,0.0976,15.0,18.0,-187.0,5111.0,-9620.0,-3843.0,0.000185,0.0
2023-07-16,5388.0,5388.0,0.0,549.0,1.0,0.1155,0.0918,16.0,11.0,-236.0,7227.0,-10675.0,-3624.0,0.000185,0.0
2023-07-17,9370.0,9370.0,0.0,-697.0,0.0,0.1514,0.1027,11.0,18.0,-530.0,7457.0,-12237.0,-4371.0,0.000185,0.0
2023-07-18,14222.0,14222.0,0.0,-9380.0,0.0,0.1507,0.118,17.0,19.0,-628.0,-11422.0,-23294.0,-14381.0,0.000185,1.0
2023-07-19,9385.0,9385.0,0.0,-3974.0,0.0,0.1645,0.1455,15.0,18.0,-60.0,-16910.0,-23037.0,-18210.0,0.000185,1.0
2023-07-20,8478.0,8478.0,0.0,-212.0,0.0,0.2533,0.1511,12.0,19.0,263.0,-13714.0,-24345.0,-18412.0,0.000185,1.0
2023-07-23,22027.0,21613.0,0.0058,-105.0,0.0,0.1393,0.0916,17.0,23.0,-537.0,-14368.0,-26005.0,-18542.0,0.000475,1.0
2023-07-24,16678.0,16678.0,0.0,792.0,1.0,0.1404,0.0984,18.0,22.0,-1136.0,-12879.0,-23900.0,-17336.0,0.000475,1.0
2023-07-25,10058.0,10058.0,0.0,-3546.0,0.0,0.2992,0.1954,14.0,16.0,-8.0,-7045.0,-30602.0,-21813.0,0.000475,1.0
2023-07-26,9355.0,9355.0,0.0,-5454.0,0.0,0.1464,0.0982,14.0,14.0,-247.0,-8525.0,-31458.0,-26302.0,0.000475,1.0
2023-07-27,6365.0,6365.0,0.0,2180.0,1.0,0.1455,0.0903,14.0,14.0,300.0,-6133.0,-25864.0,-26170.0,0.000475,1.0
2023-07-30,6382.0,6382.0,0.0,-1422.0,0.0,0.1194,0.0854,14.0,18.0,-213.0,-7450.0,-24866.0,-27194.0,0.000475,1.0
2023-07-31,4987.0,4987.0,0.0,-754.0,0.0,0.2084,0.1526,9.0,13.0,0.0,-8996.0,-22777.0,-26971.0,0.000475,1.0
2023-08-01,7318.0,7318.0,0.0,-1398.0,0.0,0.3332,0.2244,13.0,14.0,10.0,-6848.0,-27450.0,-28009.0,0.000475,1.0
2023-08-02,8455.0,8455.0,0.0,6255.0,1.0,0.701,0.4085,8.0,17.0,40.0,4861.0,-11938.0,-21724.0,0.000475,0.0
2023-08-03,13467.0,13467.0,0.0,-2750.0,0.0,0.2997,0.214,12.0,21.0,-128.0,-69.0,-14805.0,-23714.0,0.000475,1.0
2023-08-06,5304.0,5304.0,0.0,-3015.0,0.0,0.4948,0.2967,10.0,12.0,3.0,-1662.0,-16253.0,-26779.0,0.000475,1.0
2023-08-07,7004.0,7004.0,0.0,-414.0,0.0,0.1944,0.141,9.0,12.0,635.0,-1322.0,-15740.0,-26814.0,0.000475,1.0
2023-08-08,3790.0,3790.0,0.0,-2205.0,0.0,0.3107,0.1783,11.0,11.0,0.0,-2129.0,-27444.0,-29414.0,0.00029,1.0
2023-08-09,8205.0,8205.0,0.0,-1287.0,0.0,0.3174,0.2089,12.0,15.0,1120.0,-9671.0,-30245.0,-31316.0,0.00029,1.0
2023-08-10,4730.0,4730.0,0.0,-3504.0,0.0,0.1883,0.1441,12.0,8.0,210.0,-10425.0,-30341.0,-35235.0,0.00029,1.0
2023-08-13,6045.0,6045.0,0.0,-176.0,0.0,0.21,0.1559,9.0,10.0,-730.0,-7586.0,-31066.0,-35476.0,0.00029,1.0
2023-08-14,3042.0,3042.0,0.0,-1762.0,0.0,0.1138,0.0775,15.0,6.0,100.0,-8934.0,-32131.0,-36858.0,0.00029,1.0
2023-08-15,783.0,783.0,0.0,-515.0,0.0,0.2007,0.1077,7.0,6.0,0.0,-7244.0,-23266.0,-36093.0,0.00029,1.0
2023-08-16,1965.0,1965.0,0.0,1188.0,1.0,0.3869,0.1719,8.0,6.0,0.0,-4769.0,-18104.0,-35125.0,0.00029,1.0
2023-08-17,2735.0,2735.0,0.0,1490.0,1.0,0.1958,0.1393,10.0,10.0,479.0,225.0,-16402.0,-33150.0,0.00029,0.0
2023-08-20,2807.0,2807.0,0.0,-664.0,0.0,0.191,0.1939,16.0,8.0,133.0,-263.0,-16961.0,-32655.0,0.0,1.0
2023-08-21,3382.0,3382.0,0.0,368.0,1.0,0.2495,0.1858,11.0,5.0,0.0,1867.0,-17385.0,-32835.0,0.0,0.0
2023-08-22,1965.0,1965.0,0.0,0.0,0.0,0.173,0.1139,9.0,8.0,100.0,2382.0,-13839.0,-35903.0,0.0,0.0
2023-08-23,1806.0,1806.0,0.0,700.0,1.0,0.1335,0.1125,11.0,4.0,80.0,1894.0,-7685.0,-35903.0,0.0,0.0
2023-08-24,5175.0,5175.0,0.0,3927.0,1.0,0.1913,0.1836,18.0,7.0,290.0,4331.0,-5938.0,-31062.0,0.0,0.0
2023-08-27,1040.0,1040.0,0.0,-95.0,0.0,0.2935,0.1724,9.0,7.0,10.0,4900.0,-4611.0,-31667.0,0.0,0.0
2023-08-28,2664.0,2664.0,0.0,840.0,1.0,0.2501,0.159,8.0,7.0,-75.0,5372.0,-3017.0,-30931.0,0.0,0.0
2023-08-29,332.0,332.0,0.0,90.0,1.0,0.3794,0.2699,6.0,3.0,10.0,5462.0,-1529.0,-32561.0,0.0,0.0
2023-08-30,4375.0,4375.0,0.0,365.0,1.0,0.2152,0.1521,11.0,7.0,490.0,5127.0,-7419.0,-33236.0,0.0,0.0
2023-09-03,6658.0,6658.0,0.0,-838.0,0.0,0.5718,0.3694,12.0,10.0,100.0,362.0,-5507.0,-38184.0,0.0,0.0
2023-09-04,6190.0,6190.0,0.0,2521.0,1.0,0.2424,0.1464,10.0,13.0,-1098.0,2978.0,29.0,-37804.0,0.0,0.0
2023-09-05,1400.0,1400.0,0.0,-310.0,0.0,0.2865,0.2163,7.0,6.0,0.0,1828.0,133.0,-34477.0,0.0,0.0
2023-09-07,4189.0,4189.0,0.0,-285.0,0.0,0.2332,0.1521,12.0,7.0,0.0,1453.0,2053.0,-30556.0,0.0,0.0
2023-09-10,3885.0,3885.0,0.0,-1185.0,0.0,0.4845,0.3083,7.0,14.0,40.0,-97.0,2155.0,-31226.0,0.0,1.0
2023-09-11,1660.0,1660.0,0.0,-310.0,0.0,0.4384,0.2218,8.0,9.0,100.0,431.0,5349.0,-34612.0,0.0,0.0
2023-09-12,642.0,642.0,0.0,98.0,1.0,0.6421,0.3894,4.0,5.0,0.0,-1992.0,5623.0,-36118.0,0.0,1.0
2023-09-13,4262.0,4262.0,0.0,-1439.0,0.0,0.2518,0.1563,13.0,14.0,-200.0,-3121.0,5946.0,-38422.0,0.0,1.0
2023-09-17,1930.0,1930.0,0.0,160.0,1.0,0.2311,0.139,7.0,8.0,0.0,-2676.0,6621.0,-39939.0,0.0,1.0
2023-09-18,1770.0,1770.0,0.0,-300.0,0.0,0.1719,0.1323,9.0,8.0,-10.0,-1791.0,5133.0,-36008.0,0.0,1.0
2023-09-19,10454.0,10454.0,0.0,618.0,1.0,0.571,0.3534,6.0,21.0,-969.0,-863.0,4261.0,-36486.0,0.0,1.0
2023-09-21,9443.0,9443.0,0.0,2910.0,1.0,0.1886,0.1333,14.0,17.0,0.0,1949.0,7835.0,-35131.0,0.0,0.0
2023-09-24,2974.0,2974.0,0.0,1110.0,1.0,0.133,0.0805,10.0,9.0,500.0,4498.0,8577.0,-32708.0,0.0,0.0
2023-09-25,2108.0,2108.0,0.0,-1341.0,0.0,0.2504,0.1333,11.0,6.0,0.0,2997.0,7236.0,-37205.0,0.0,0.0
2023-09-26,1600.0,1600.0,0.0,382.0,1.0,0.1894,0.1026,8.0,8.0,55.0,3679.0,6918.0,-32225.0,0.0,0.0
2023-09-27,5726.0,5726.0,0.0,-1590.0,0.0,0.3603,0.2536,10.0,8.0,109.0,1471.0,1401.0,-30401.0,0.0,0.0
2023-10-01,2893.0,2893.0,0.0,265.0,1.0,0.2998,0.1737,8.0,7.0,50.0,-1174.0,1761.0,-27716.0,0.0,1.0
2023-10-02,5982.0,5982.0,0.0,-2739.0,0.0,0.3921,0.2302,7.0,18.0,10.0,-5023.0,-1818.0,-27612.0,0.0,1.0
2023-10-03,1460.0,1460.0,0.0,-890.0,0.0,0.3077,0.23,5.0,6.0,110.0,-4572.0,-2798.0,-31777.0,0.0,1.0
2023-10-04,3821.0,3821.0,0.0,339.0,1.0,0.1617,0.1217,14.0,4.0,20.0,-4615.0,-2824.0,-22181.0,0.0,1.0
2023-10-05,428.0,428.0,0.0,277.0,1.0,0.3195,0.2283,4.0,5.0,0.0,-2748.0,-1709.0,-22021.0,0.0,1.0
2023-10-08,4323.0,4323.0,0.0,-1230.0,0.0,0.1898,0.1242,11.0,7.0,1475.0,-4243.0,-5460.0,-21684.0,0.0,1.0
2023-10-09,4372.0,4372.0,0.0,520.0,1.0,0.1806,0.1108,9.0,9.0,0.0,-984.0,-4630.0,-20237.0,0.0,1.0
2023-10-10,4150.0,4150.0,0.0,1360.0,1.0,0.4224,0.2883,9.0,8.0,0.0,1266.0,-2985.0,-28376.0,0.0,0.0
2023-10-11,1120.0,1120.0,0.0,1020.0,1.0,0.4401,0.3082,6.0,7.0,710.0,1947.0,-780.0,-28870.0,0.0,0.0
2023-10-12,6051.0,6051.0,0.0,1713.0,1.0,0.2066,0.1485,17.0,6.0,80.0,3383.0,1243.0,-23749.0,0.0,0.0
2023-10-16,1119.0,1119.0,0.0,139.0,1.0,0.445,0.2926,5.0,4.0,10.0,4752.0,1284.0,-24159.0,0.0,0.0
2023-10-17,943.0,943.0,0.0,540.0,1.0,0.2501,0.2035,9.0,6.0,40.0,4772.0,3263.0,-22922.0,0.0,0.0
2023-10-18,2980.0,2980.0,0.0,600.0,1.0,0.2987,0.2122,8.0,8.0,225.0,4012.0,3703.0,-12942.0,0.0,0.0
2023-10-19,1823.0,1823.0,0.0,-100.0,0.0,0.1327,0.0686,13.0,5.0,50.0,2892.0,3903.0,-9068.0,0.0,0.0
2023-10-29,250.0,250.0,0.0,100.0,1.0,0.36,0.1613,3.0,2.0,0.0,1279.0,3385.0,-8756.0,0.0,0.0
2023-10-30,1300.0,1300.0,0.0,-445.0,0.0,0.6095,0.3236,4.0,8.0,0.0,695.0,30.0,-9096.0,0.0,0.0
