date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7187,0.709,0.0097,0.0119,1.0,0.184,0.2262,17.0,22.0,-0.0,0.0119,0.0119,0.0119,0.0097,0.0
2023-01-24,0.5988,0.5927,0.0061,-0.2134,0.0,0.1746,0.2166,20.0,20.0,-0.0225,-0.2015,-0.2015,-0.2015,0.0079,1.0
2023-01-25,0.6468,0.6287,0.0182,0.1411,1.0,0.1599,0.1598,16.0,24.0,-0.0854,-0.06040000000000001,-0.06040000000000001,-0.06040000000000001,0.011333333333333334,1.0
2023-01-26,0.6829,0.6658,0.0171,-0.1125,0.0,0.1268,0.1524,19.0,21.0,0.0165,-0.1729,-0.1729,-0.1729,0.012775000000000002,1.0
2023-01-29,0.5623,0.5495,0.0127,0.009,1.0,0.138,0.1579,16.0,24.0,0.0676,-0.16390000000000002,-0.16390000000000002,-0.16390000000000002,0.012759999999999999,1.0
2023-01-30,0.6574,0.6514,0.006,-0.0873,0.0,0.1599,0.1651,17.0,22.0,0.0017,-0.2631,-0.25120000000000003,-0.25120000000000003,0.011633333333333334,1.0
2023-01-31,0.747,0.7343,0.0126,-0.1763,0.0,0.1749,0.2324,14.0,26.0,-0.0703,-0.226,-0.42750000000000005,-0.42750000000000005,0.011771428571428572,1.0
2023-02-01,0.7073,0.6978,0.0096,0.3411,1.0,0.1566,0.1656,15.0,24.0,0.1656,-0.025999999999999968,-0.08640000000000003,-0.08640000000000003,0.0115,1.0
2023-02-02,0.8704,0.8632,0.0071,-0.661,0.0,0.1552,0.2577,15.0,24.0,-0.2384,-0.5745,-0.7474000000000001,-0.7474000000000001,0.011011111111111112,1.0
2023-02-05,0.4817,0.4673,0.0144,-0.0748,0.0,0.157,0.1442,11.0,29.0,-0.0198,-0.6583,-0.8222,-0.8222,0.01135,1.0
2023-02-06,0.8143,0.8113,0.003,-0.2454,0.0,0.162,0.2666,14.0,26.0,0.109,-0.8164,-1.0676,-1.0676,0.010590909090909092,1.0
2023-02-07,0.7158,0.6876,0.0282,0.0706,1.0,0.1435,0.2074,19.0,21.0,-0.0951,-0.5695,-0.9970000000000001,-0.9970000000000001,0.012058333333333332,1.0
2023-02-08,0.7379,0.7426,-0.0047,0.3136,1.0,0.1289,0.1529,20.0,20.0,0.0,-0.5970000000000001,-0.6834000000000001,-0.6834000000000001,0.01076923076923077,1.0
2023-02-09,0.6051,0.6022,0.0029,-0.1062,0.0,0.1561,0.1417,10.0,30.0,-0.0908,-0.04220000000000006,-0.7896000000000001,-0.7896000000000001,0.010207142857142857,1.0
2023-02-12,0.7382,0.7352,0.003,-0.1913,0.0,0.1231,0.2012,20.0,20.0,-0.0097,-0.15870000000000006,-0.9809000000000001,-0.9809000000000001,0.009726666666666666,1.0
2023-02-14,0.7444,0.7362,0.0082,-0.0368,0.0,0.4169,0.4468,9.0,30.0,-0.0306,0.04989999999999997,-1.0177,-1.0177,0.009631250000000001,0.0
2023-02-15,0.9174,0.9121,0.0054,-0.008,0.0,0.1995,0.2778,17.0,22.0,-0.0431,-0.028700000000000024,-1.0257,-1.0257,0.00938235294117647,1.0
2023-02-16,0.8604,0.8604,0.0,-0.0338,0.0,0.1189,0.1751,13.0,26.0,-0.0376,-0.3761,-1.0595,-1.0595,0.008861111111111111,1.0
2023-02-20,0.821,0.7846,0.0364,0.2345,1.0,0.1634,0.2693,16.0,24.0,-0.0761,-0.03539999999999999,-0.8250000000000002,-0.8250000000000002,0.010310526315789475,1.0
2023-02-22,0.6087,0.6274,-0.0187,0.0665,1.0,0.0772,0.1,20.0,20.0,0.0246,0.2224,-0.7585000000000002,-0.7585000000000002,0.00886,0.0
2023-02-23,0.6607,0.6583,0.0024,-0.0115,0.0,0.1045,0.113,20.0,20.0,0.113,0.24769999999999998,-0.7819000000000002,-0.7700000000000001,0.008494999999999999,0.0
2023-02-26,0.6001,0.5984,0.0017,0.1653,1.0,0.0849,0.0788,20.0,20.0,0.0442,0.421,-0.4032000000000001,-0.6047000000000001,0.008275000000000001,0.0
2023-02-27,0.7141,0.715,-0.0008,0.0881,1.0,0.0975,0.1304,20.0,20.0,-0.0271,0.5428999999999999,-0.4562000000000001,-0.5166000000000002,0.007325,0.0
2023-02-28,0.7147,0.7057,0.009,-0.3154,0.0,0.2602,0.3205,13.0,26.0,0.0924,-0.007000000000000006,-0.6591000000000001,-0.8320000000000001,0.00692,1.0
2023-03-01,0.7737,0.7718,0.0018,0.0371,1.0,0.1312,0.1893,18.0,22.0,0.0156,-0.03640000000000001,-0.6310000000000001,-0.7949000000000002,0.0063750000000000005,1.0
2023-03-02,0.6044,0.6004,0.0041,-0.1113,0.0,0.1342,0.1761,19.0,21.0,0.025,-0.13620000000000002,-0.655,-0.9062000000000001,0.006279999999999999,1.0
2023-03-05,0.8167,0.8149,0.0018,0.0873,1.0,0.1076,0.1496,18.0,22.0,-0.1442,-0.21419999999999997,-0.3914000000000001,-0.8189000000000001,0.00574,1.0
2023-03-07,0.7554,0.7521,0.0033,0.0702,1.0,0.1764,0.2645,12.0,28.0,-0.0545,-0.23210000000000003,-0.6623000000000001,-0.7487000000000001,0.005425,1.0
2023-03-09,0.7466,0.7277,0.0189,0.2518,1.0,0.1726,0.1719,11.0,29.0,0.1719,0.3351,0.25049999999999994,-0.4969000000000001,0.0060149999999999995,0.0
2023-03-12,0.6344,0.6331,0.0013,-0.1176,0.0,0.1251,0.1929,20.0,20.0,0.0173,0.1804,0.20769999999999994,-0.6145000000000002,0.00536,0.0
2023-03-13,0.6817,0.6769,0.0047,-0.0779,0.0,0.2329,0.2369,8.0,31.0,-0.0367,0.2138,0.3751999999999999,-0.6924000000000001,0.005445,0.0
2023-03-14,0.611,0.611,0.0,0.1773,1.0,0.1828,0.1901,11.0,27.0,-0.0133,0.3038,0.4819,-0.5151000000000001,0.0040349999999999995,0.0
2023-03-15,0.6298,0.6298,0.0,-0.2747,0.0,0.3341,0.3321,10.0,27.0,0.0811,-0.0411,-0.1064,-0.7898000000000001,0.00427,1.0
2023-03-16,0.5624,0.5596,0.0028,-0.065,0.0,0.2057,0.1551,11.0,29.0,-0.0425,-0.35790000000000005,-0.0652,-0.8548000000000001,0.004265,1.0
2023-03-19,0.8475,0.8305,0.0169,-0.2965,0.0,0.1756,0.2118,11.0,28.0,-0.0339,-0.5368,-0.1704,-1.1513,0.00496,1.0
2023-03-20,0.8629,0.8487,0.0142,-0.3275,0.0,0.1708,0.2246,10.0,28.0,-0.0839,-0.7864,-0.46109999999999995,-1.4788000000000001,0.00526,1.0
