date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.3753,0.377,-0.0018,0.021,1.0,0.0823,0.0557,20.0,20.0,-0.041,0.021,0.021,0.021,-0.0018,0.0
2023-01-24,0.4408,0.4521,-0.0113,-0.0271,0.0,0.1405,0.1442,20.0,20.0,-0.0041,-0.006099999999999998,-0.006099999999999998,-0.006099999999999998,-0.006549999999999999,1.0
2023-01-25,0.4574,0.454,0.0035,-0.0386,0.0,0.0942,0.0995,20.0,20.0,0.0296,-0.044700000000000004,-0.044700000000000004,-0.044700000000000004,-0.0031999999999999997,1.0
2023-01-26,0.5194,0.5471,-0.0277,-0.1292,0.0,0.1233,0.1239,20.0,19.0,0.1063,-0.1739,-0.1739,-0.1739,-0.009325,1.0
2023-01-29,0.4015,0.4179,-0.0164,0.1534,1.0,0.0744,0.0595,20.0,20.0,0.0595,-0.020500000000000018,-0.020500000000000018,-0.020500000000000018,-0.01074,1.0
2023-01-30,0.4401,0.4528,-0.0127,0.0437,1.0,0.1262,0.1207,20.0,20.0,0.0146,0.0021999999999999797,0.023199999999999985,0.023199999999999985,-0.011066666666666667,0.0
2023-01-31,0.5316,0.584,-0.0524,-0.2248,0.0,0.0678,0.0653,25.0,15.0,0.0522,-0.1955,-0.2016,-0.2016,-0.01697142857142857,1.0
2023-02-01,0.5278,0.5603,-0.0325,-0.1301,0.0,0.0987,0.1183,20.0,20.0,-0.0194,-0.28700000000000003,-0.3317,-0.3317,-0.0189125,1.0
2023-02-02,0.5136,0.5358,-0.0222,0.2194,1.0,0.1072,0.1361,21.0,19.0,-0.0109,0.061600000000000016,-0.11229999999999998,-0.11229999999999998,-0.01927777777777778,0.0
2023-02-05,0.4846,0.5601,-0.0755,-0.0914,0.0,0.0635,0.0528,25.0,14.0,0.0483,-0.18319999999999997,-0.2037,-0.2037,-0.0249,1.0
2023-02-06,0.5512,0.582,-0.0308,0.0656,1.0,0.0913,0.1173,22.0,18.0,-0.0715,-0.1613,-0.13809999999999997,-0.13809999999999997,-0.025436363636363635,1.0
2023-02-07,0.4639,0.5172,-0.0533,-0.1335,0.0,0.0663,0.0616,22.0,18.0,0.0616,-0.07,-0.27159999999999995,-0.27159999999999995,-0.027758333333333333,1.0
2023-02-08,0.4878,0.533,-0.0452,-0.1095,0.0,0.0673,0.0702,28.0,12.0,-0.0107,-0.04940000000000001,-0.3811,-0.3811,-0.029099999999999997,1.0
2023-02-09,0.6529,0.7112,-0.0583,-0.0371,0.0,0.0855,0.1352,29.0,11.0,0.0814,-0.30590000000000006,-0.41819999999999996,-0.41819999999999996,-0.031185714285714285,1.0
2023-02-12,0.4545,0.4674,-0.0129,0.0325,1.0,0.1074,0.0928,20.0,20.0,0.0102,-0.182,-0.3857,-0.3857,-0.029966666666666666,1.0
2023-02-14,0.4388,0.4744,-0.0356,0.173,1.0,0.0954,0.1045,23.0,17.0,0.0313,-0.07460000000000003,-0.2127,-0.2127,-0.03031875,1.0
2023-02-15,0.5309,0.5605,-0.0296,-0.1045,0.0,0.1047,0.1171,21.0,19.0,0.0402,-0.045600000000000016,-0.3172,-0.3172,-0.030276470588235297,1.0
2023-02-16,0.4782,0.539,-0.0608,-0.1486,0.0,0.0603,0.0453,22.0,18.0,0.0337,-0.08470000000000003,-0.4658,-0.4658,-0.03197222222222222,1.0
2023-02-20,0.494,0.5641,-0.07,0.0031,1.0,0.0637,0.0679,24.0,16.0,0.0,-0.044500000000000026,-0.4627,-0.4627,-0.033973684210526316,1.0
2023-02-22,0.5794,0.5672,0.0122,0.0311,1.0,0.3101,0.3098,20.0,20.0,-0.0249,-0.045900000000000024,-0.4316,-0.4316,-0.031665,1.0
2023-02-23,0.4935,0.5726,-0.0791,-0.226,0.0,0.0674,0.0789,25.0,15.0,0.0368,-0.4449,-0.6786,-0.6576,-0.03553,1.0
2023-02-26,0.4342,0.4646,-0.0305,-0.0708,0.0,0.0745,0.0642,20.0,20.0,-0.012,-0.4112,-0.7222999999999999,-0.7283999999999999,-0.03649,1.0
2023-02-27,0.488,0.5238,-0.0358,0.1228,1.0,0.0865,0.1003,23.0,17.0,0.0434,-0.13980000000000004,-0.5609000000000001,-0.6056,-0.038454999999999996,1.0
2023-02-28,0.7121,0.8107,-0.0986,-0.3177,0.0,0.0697,0.1262,23.0,17.0,0.0327,-0.4606,-0.7494,-0.9233,-0.041999999999999996,1.0
2023-03-01,0.4608,0.4941,-0.0333,-0.0841,0.0,0.1113,0.1096,22.0,18.0,-0.0065,-0.5758,-0.9868999999999999,-1.0073999999999999,-0.042845,1.0
2023-03-02,0.5076,0.5258,-0.0181,0.157,1.0,0.102,0.1159,22.0,18.0,0.1159,-0.19280000000000003,-0.8735999999999999,-0.8503999999999999,-0.043115,1.0
2023-03-05,0.5444,0.6004,-0.056,0.0909,1.0,0.0733,0.0765,22.0,18.0,0.0494,-0.031100000000000003,-0.5578999999999998,-0.7595,-0.043295,1.0
2023-03-07,0.6627,0.6773,-0.0146,0.032,1.0,0.1814,0.2601,23.0,17.0,0.2601,-0.12190000000000001,-0.39579999999999993,-0.7274999999999999,-0.0424,1.0
2023-03-09,0.4862,0.5235,-0.0374,-0.0405,0.0,0.1094,0.1341,20.0,20.0,0.0258,0.15529999999999997,-0.6557,-0.7679999999999999,-0.04316,0.0
2023-03-12,0.6076,0.6978,-0.0902,0.3333,1.0,0.0699,0.0858,26.0,14.0,0.0776,0.5727,-0.23099999999999998,-0.4347,-0.043895,0.0
2023-03-13,0.3611,0.3663,-0.0053,0.159,1.0,0.0961,0.0664,20.0,20.0,0.0159,0.5747,-0.13759999999999997,-0.27569999999999995,-0.04262,0.0
2023-03-14,0.5121,0.541,-0.0289,0.1951,1.0,0.0681,0.064,20.0,20.0,0.0345,0.6789,0.191,-0.08059999999999998,-0.041400000000000006,0.0
2023-03-15,0.5977,0.6016,-0.0039,0.1193,1.0,0.1027,0.1077,20.0,20.0,0.051,0.7662,0.4198,0.038700000000000026,-0.039335,0.0
2023-03-16,0.5145,0.5277,-0.0132,0.1175,1.0,0.1248,0.1365,20.0,20.0,-0.0086,0.9241999999999999,0.5744,0.1562,-0.03708,0.0
2023-03-19,0.4418,0.4751,-0.0332,0.1552,1.0,0.0835,0.0707,20.0,20.0,0.0707,0.7461,0.6971,0.3114,-0.038095000000000004,0.0
2023-03-20,0.6229,0.6788,-0.0559,-0.0113,0.0,0.0821,0.1261,20.0,20.0,0.0274,0.5758,0.5128,0.30010000000000003,-0.03911,0.0
2023-03-22,0.5833,0.6198,-0.0365,0.0427,1.0,0.1012,0.1348,22.0,18.0,0.0525,0.4234,0.66,0.3428,-0.039455,0.0
2023-03-23,0.6351,0.7475,-0.1123,0.2805,1.0,0.0505,0.051,30.0,10.0,0.0158,0.5846,1.0891,0.6233,-0.04203,0.0
2023-03-26,0.443,0.4915,-0.0485,0.1506,1.0,0.0683,0.0528,23.0,17.0,0.0528,0.6177,1.2366000000000001,0.7739,-0.040955000000000005,0.0
2023-03-27,0.4303,0.4544,-0.0241,0.086,1.0,0.079,0.0678,20.0,20.0,0.0525,0.5485,1.2915,0.8599,-0.04277,0.0
2023-03-28,0.5148,0.5127,0.0021,-0.0031,0.0,0.0865,0.0971,20.0,20.0,0.0283,0.5567,1.5144,0.8568,-0.03871,0.0
2023-03-29,0.628,0.6239,0.0041,0.2669,1.0,0.1919,0.2257,20.0,20.0,0.0535,0.7809,1.8521,1.1237,-0.03698,0.0
2023-03-30,0.6219,0.6936,-0.0717,-0.1435,0.0,0.0796,0.1242,25.0,15.0,0.0472,0.3569,1.5858,0.9802000000000001,-0.038775,0.0
2023-04-02,0.4576,0.5206,-0.063,-0.1513,0.0,0.0614,0.0514,27.0,13.0,0.0021,0.05500000000000002,1.7522,0.8289000000000001,-0.036995,0.0
2023-04-03,0.4711,0.5252,-0.0541,-0.0381,0.0,0.0594,0.0436,24.0,15.0,-0.0027,-0.06909999999999997,1.7982,0.7908000000000001,-0.038035,1.0
2023-04-04,0.4825,0.4831,-0.0006,0.049,1.0,0.1011,0.0935,20.0,20.0,0.0147,-0.016999999999999967,1.6902000000000001,0.8398000000000001,-0.037160000000000006,1.0
2023-04-05,0.5825,0.6409,-0.0584,0.0605,1.0,0.0672,0.0719,24.0,16.0,0.0174,-0.2234,1.6598000000000002,0.9003000000000001,-0.03728,1.0
2023-04-06,0.5667,0.5559,0.0107,-0.1385,0.0,0.2217,0.1914,20.0,20.0,-0.0164,-0.2184,1.4893,0.7618,-0.036015000000000005,1.0
2023-04-09,0.6961,0.8138,-0.1177,-0.3332,0.0,0.0509,0.0626,32.0,8.0,0.0248,-0.4003,1.1966,0.42860000000000004,-0.04003,1.0
2023-04-10,0.4314,0.4278,0.0036,0.0266,1.0,0.1285,0.1254,20.0,20.0,0.0115,-0.3356,0.8899000000000001,0.45520000000000005,-0.035339999999999996,1.0
2023-04-11,0.5286,0.5499,-0.0213,0.2861,1.0,0.1116,0.1427,20.0,20.0,0.0309,-0.09850000000000003,1.0170000000000001,0.7413000000000001,-0.03614,1.0
2023-04-12,0.5399,0.5384,0.0016,0.2573,1.0,0.2622,0.2623,20.0,20.0,0.0,0.09829999999999997,1.0792000000000002,0.9986,-0.034615,0.0
2023-04-13,0.424,0.422,0.002,0.0629,1.0,0.2091,0.176,20.0,20.0,0.0241,0.29969999999999997,1.0228000000000002,1.0615,-0.03432,0.0
2023-04-16,0.4688,0.4997,-0.031,0.0156,1.0,0.0783,0.0647,20.0,20.0,0.0348,0.6485000000000001,0.9209,1.0771,-0.03521,0.0
2023-04-17,0.5989,0.6004,-0.0016,0.0058,1.0,0.1209,0.1366,20.0,20.0,0.1366,0.6276999999999999,0.7715000000000001,1.0829,-0.03363,0.0
2023-04-18,0.6818,0.6699,0.012,0.3177,1.0,0.2111,0.2292,20.0,20.0,0.2292,0.6593,1.1005,1.4006,-0.030235,0.0
2023-04-19,0.8063,0.8191,-0.0128,-0.5212,0.0,0.4153,0.5091,20.0,20.0,0.0306,-0.11920000000000008,0.5366000000000002,0.8794,-0.029050000000000003,1.0
2023-04-20,0.4178,0.4321,-0.0143,-0.1041,0.0,0.0916,0.0739,20.0,20.0,-0.0467,-0.2862000000000001,0.1520000000000001,0.7753,-0.024149999999999998,1.0
2023-04-23,0.5189,0.5558,-0.0369,-0.1387,0.0,0.082,0.1035,22.0,18.0,0.0277,-0.4405000000000001,-0.1372999999999999,0.6365999999999999,-0.02357,1.0
2023-04-24,0.5959,0.6574,-0.0615,-0.2503,0.0,0.0801,0.1129,27.0,13.0,-0.045,-0.6966000000000001,-0.4735999999999999,0.3863,-0.02544,1.0
2023-04-25,0.6377,0.7077,-0.07,-0.4596,0.0,0.0715,0.0877,28.0,12.0,0.0397,-1.4739,-0.9300999999999999,-0.09430000000000005,-0.029044999999999998,1.0
2023-04-26,0.5057,0.5449,-0.0392,-0.2762,0.0,0.0838,0.077,20.0,20.0,0.0108,-1.2289,-1.4732,-0.34340000000000004,-0.031209999999999998,1.0
2023-04-27,0.66,0.7635,-0.1035,0.019,1.0,0.0536,0.06,26.0,14.0,0.06,-1.1058,-1.3107,-0.2858,-0.032799999999999996,1.0
2023-04-30,0.6526,0.7364,-0.0838,-0.3415,0.0,0.0628,0.0864,31.0,9.0,0.0501,-1.3086,-1.5009,-0.49810000000000004,-0.03384,1.0
2023-05-02,0.7281,0.7154,0.0126,-0.2843,0.0,0.5137,0.5168,20.0,20.0,0.0189,-1.3426,-1.7470999999999999,-0.9358000000000001,-0.030504999999999997,1.0
2023-05-03,0.6278,0.6261,0.0017,-0.2666,0.0,0.1043,0.1422,20.0,20.0,0.0282,-1.1496,-2.0627,-1.2461,-0.030389999999999993,1.0
2023-05-04,0.4735,0.5129,-0.0395,-0.136,0.0,0.083,0.0947,20.0,20.0,0.0114,-1.0094,-2.2592,-1.1573000000000002,-0.029445,1.0
2023-05-07,0.5518,0.5573,-0.0055,0.0197,1.0,0.0892,0.0971,20.0,20.0,0.0556,-1.0087,-2.101,-1.0075,-0.030254999999999997,1.0
2023-05-08,0.623,0.6676,-0.0446,0.1994,1.0,0.1976,0.2627,22.0,18.0,0.0147,-0.4678000000000001,-1.5684,-1.0275,-0.026600000000000002,1.0
2023-05-09,0.5794,0.5829,-0.0036,0.0481,1.0,0.143,0.1674,20.0,20.0,0.0318,-0.13540000000000008,-1.5469,-0.8880000000000001,-0.026959999999999994,1.0
2023-05-10,0.7238,0.7511,-0.0273,0.2884,1.0,0.1107,0.1301,25.0,15.0,0.0409,0.4195999999999999,-1.5446,-0.6652,-0.027259999999999996,0.0
2023-05-11,0.6636,0.7114,-0.0479,0.3867,1.0,0.0774,0.1228,23.0,17.0,0.0379,0.9422999999999999,-1.4152,-0.14500000000000013,-0.029735,0.0
2023-05-14,0.6213,0.7082,-0.0869,-0.2445,0.0,0.0606,0.0868,30.0,10.0,0.0274,0.6780999999999999,-1.7226000000000001,-0.2800000000000001,-0.03418,0.0
2023-05-15,0.5526,0.6117,-0.0591,-0.2001,0.0,0.0591,0.0605,25.0,15.0,-0.0851,0.2785999999999999,-1.9383,-0.44300000000000006,-0.035585,0.0
2023-05-16,0.7473,0.7633,-0.016,0.4748,1.0,0.1988,0.2957,20.0,20.0,-0.0086,0.7052999999999999,-1.4693,-0.0007000000000000339,-0.036305000000000004,0.0
2023-05-17,0.4015,0.4051,-0.0037,-0.1002,0.0,0.0939,0.0609,20.0,20.0,-0.0551,0.3166999999999999,-1.8872,-0.27390000000000003,-0.03709,0.0
2023-05-18,0.6944,0.7664,-0.072,-0.3609,0.0,0.0642,0.0745,28.0,12.0,0.052,-0.43090000000000006,-1.7268999999999999,-0.5303,-0.04005,1.0
2023-05-21,0.5563,0.6021,-0.0459,-0.1381,0.0,0.075,0.0882,24.0,16.0,0.0303,-0.32450000000000007,-1.7609,-0.5198,-0.04163,1.0
2023-05-22,0.4977,0.5066,-0.0088,-0.0834,0.0,0.1002,0.0837,20.0,20.0,-0.0173,-0.20780000000000007,-1.7056,-0.6063000000000001,-0.040225,1.0
2023-05-23,0.5044,0.545,-0.0406,0.0598,1.0,0.0859,0.0775,22.0,18.0,0.0,-0.6228000000000001,-1.3954999999999997,-0.5776,-0.03918,1.0
2023-05-24,0.6045,0.6273,-0.0228,0.3316,1.0,0.0967,0.1406,21.0,19.0,0.0152,-0.19100000000000011,-0.6043,-0.020000000000000073,-0.036820000000000006,1.0
2023-05-28,0.3809,0.3888,-0.008,0.0097,1.0,0.0798,0.0636,20.0,20.0,0.0636,0.17959999999999993,-0.31839999999999996,0.06049999999999996,-0.03526,0.0
2023-05-30,0.6036,0.6511,-0.0475,-0.2986,0.0,0.1087,0.1628,25.0,15.0,0.0412,0.01909999999999995,-0.6359999999999999,-0.3609,-0.03246,0.0
2023-05-31,0.5017,0.5661,-0.0643,-0.0568,0.0,0.0623,0.0518,23.0,16.0,0.0518,0.04569999999999995,-0.35129999999999995,-0.10000000000000002,-0.031485,0.0
2023-06-01,0.4656,0.4895,-0.0239,0.1552,1.0,0.0795,0.0653,20.0,20.0,0.0653,0.14109999999999995,0.08820000000000006,0.13929999999999998,-0.03330999999999999,0.0
2023-06-04,0.62,0.6242,-0.0042,0.0368,1.0,0.1107,0.1059,20.0,20.0,0.031,-0.15370000000000006,0.39160000000000006,0.019099999999999978,-0.033605,1.0
2023-06-05,0.5976,0.5991,-0.0015,0.1239,1.0,0.0867,0.0911,20.0,20.0,0.0438,-0.03950000000000005,0.6515000000000001,0.05209999999999998,-0.031705,1.0
2023-06-06,0.5839,0.6044,-0.0205,0.1826,1.0,0.0884,0.0913,20.0,20.0,0.0207,0.4417,0.8144,0.2027,-0.032455,0.0
2023-06-07,0.6163,0.6203,-0.004,0.1768,1.0,0.1666,0.1936,20.0,20.0,-0.1154,0.6753,0.7918000000000001,0.42000000000000004,-0.030424999999999997,0.0
2023-06-08,0.5244,0.5224,0.002,-0.115,0.0,0.1181,0.1234,20.0,20.0,0.0497,0.40509999999999996,0.6287,-0.028299999999999978,-0.030144999999999998,0.0
2023-06-11,0.471,0.4928,-0.0218,-0.1701,0.0,0.1107,0.1167,20.0,20.0,-0.006,0.1982,0.17020000000000007,-0.35739999999999994,-0.02987,0.0
2023-06-12,0.5597,0.5586,0.0011,0.0278,1.0,0.086,0.0961,20.0,20.0,0.0167,0.1021,-0.18869999999999992,-0.5247,-0.02742,0.0
2023-06-13,0.5885,0.592,-0.0035,-0.0201,0.0,0.2607,0.2877,20.0,20.0,-0.0227,-0.10060000000000002,0.03570000000000008,-0.6641,-0.02325,1.0
2023-06-14,0.5691,0.6094,-0.0403,0.2895,1.0,0.1136,0.1571,25.0,15.0,-0.0216,0.012099999999999944,0.5253000000000001,-0.49210000000000004,-0.02231,0.0
2023-06-15,0.4953,0.5211,-0.0258,-0.0664,0.0,0.0706,0.0662,20.0,20.0,0.0123,0.060699999999999935,-0.015899999999999956,-0.7137,-0.0228,0.0
2023-06-18,0.4116,0.4189,-0.0073,-0.1009,0.0,0.0757,0.0584,20.0,20.0,-0.0279,0.12989999999999996,-0.016599999999999962,-0.8033,-0.02298,0.0
2023-06-19,0.4866,0.5313,-0.0446,-0.0133,0.0,0.07,0.0589,20.0,20.0,0.0,0.08879999999999996,0.33100000000000007,-0.8593,-0.02161,0.0
2023-06-20,0.5627,0.5808,-0.0181,0.2854,1.0,0.1846,0.2191,20.0,20.0,0.0164,0.39429999999999993,0.7545000000000001,-0.8543999999999999,-0.02022,0.0
2023-06-21,0.4229,0.4638,-0.0409,0.0242,1.0,0.0884,0.0958,21.0,19.0,-0.0158,0.12899999999999995,0.8621000000000001,-0.9807999999999999,-0.021825,0.0
2023-06-22,0.4131,0.4173,-0.0042,0.1534,1.0,0.0811,0.0681,20.0,20.0,0.0428,0.3488,0.9557,-0.9134,-0.020005,0.0
2023-06-25,0.5071,0.5738,-0.0667,0.2049,1.0,0.1087,0.1429,24.0,16.0,0.0198,0.6546,0.8290000000000002,-0.7054,-0.022199999999999998,0.0
2023-06-26,0.5053,0.5544,-0.0491,0.1985,1.0,0.1039,0.1312,24.0,16.0,0.0,0.8664,1.0178,-0.7738,-0.024255,0.0
2023-06-27,0.5018,0.5245,-0.0228,0.1882,1.0,0.1192,0.1047,20.0,20.0,0.0806,0.7692,1.5046000000000002,-0.44210000000000005,-0.02302,0.0
2023-06-28,0.4875,0.5504,-0.0629,-0.01,0.0,0.0647,0.0577,24.0,16.0,0.0244,0.735,1.5514000000000001,-0.3008,-0.02295,0.0
2023-07-02,0.5872,0.6251,-0.0378,0.1147,1.0,0.1557,0.2076,22.0,18.0,0.0402,0.6963,1.5109000000000001,-0.14800000000000002,-0.023645,0.0
2023-07-03,0.5477,0.6005,-0.0528,0.1763,1.0,0.0798,0.0898,25.0,14.0,0.0756,0.6677,1.6504,-0.020699999999999996,-0.026074999999999997,0.0
2023-07-04,0.6787,0.7371,-0.0584,0.0256,1.0,0.0908,0.1306,26.0,14.0,0.088,0.49479999999999996,1.5521000000000003,-0.0556,-0.028919999999999994,0.0
2023-07-05,0.5375,0.5866,-0.0492,0.052,1.0,0.0631,0.0642,21.0,19.0,0.0523,0.3586,1.4215,0.13490000000000002,-0.030355,0.0
2023-07-06,0.5085,0.5354,-0.0269,-0.1104,0.0,0.0604,0.0469,20.0,20.0,0.0427,0.25819999999999993,1.1343,0.3577,-0.0315,0.0
2023-07-09,0.4981,0.5418,-0.0437,0.0108,1.0,0.0872,0.0825,21.0,19.0,0.0825,0.15429999999999996,1.2601,0.3419,-0.033784999999999996,0.0
2023-07-10,0.4963,0.5374,-0.0411,0.0054,1.0,0.088,0.0779,24.0,16.0,-0.0426,-0.016600000000000052,1.4356000000000002,0.061199999999999984,-0.034749999999999996,1.0
2023-07-11,0.5054,0.5296,-0.0243,0.2365,1.0,0.0819,0.0722,25.0,15.0,-0.0433,0.19429999999999992,1.6443,0.04039999999999999,-0.03602,0.0
2023-07-12,0.4224,0.445,-0.0227,-0.0091,0.0,0.0597,0.0428,20.0,20.0,0.0428,0.13319999999999993,1.6553,-0.0316,-0.03698,0.0
2023-07-13,0.5047,0.5144,-0.0097,0.0248,1.0,0.1505,0.169,20.0,20.0,0.0429,0.2683999999999999,1.3906000000000003,-0.02240000000000001,-0.035449999999999995,0.0
2023-07-16,0.5384,0.5548,-0.0165,0.299,1.0,0.1217,0.1405,20.0,20.0,0.006,0.5566,1.756,0.2708,-0.034985,0.0
2023-07-17,0.363,0.3512,0.0117,0.0329,1.0,0.0872,0.0683,20.0,20.0,0.0239,0.5840999999999998,1.8898,-0.013999999999999999,-0.034034999999999996,0.0
2023-07-18,0.443,0.463,-0.02,-0.0624,0.0,0.076,0.0662,20.0,20.0,-0.0786,0.2851999999999999,1.8407,0.4448,-0.032805,0.0
2023-07-19,0.5384,0.5845,-0.0461,-0.1373,0.0,0.0844,0.1028,20.0,20.0,-0.3213,0.15699999999999992,1.418,0.41159999999999997,-0.034205,0.0
2023-07-20,0.4215,0.4504,-0.0289,-0.1437,0.0,0.0736,0.0555,23.0,17.0,0.0555,-0.011500000000000066,1.2501000000000002,0.4066,-0.033604999999999996,1.0
2023-07-23,0.4425,0.4657,-0.0233,0.209,1.0,0.0888,0.0909,20.0,20.0,0.0227,-0.10150000000000006,1.3057,0.8659,-0.034559999999999994,1.0
2023-07-24,0.416,0.4414,-0.0254,-0.1938,0.0,0.0873,0.0621,20.0,20.0,0.0588,-0.32820000000000005,0.9070000000000001,1.1317,-0.032495,1.0
2023-07-25,0.5075,0.5126,-0.0051,-0.0035,0.0,0.1102,0.1128,20.0,20.0,-0.0359,-0.26930000000000004,0.7050000000000002,1.4043999999999999,-0.030295000000000006,1.0
2023-07-26,0.52,0.5518,-0.0318,0.1642,1.0,0.0863,0.0894,20.0,20.0,0.0,0.03219999999999995,0.681,1.5496,-0.030745,0.0
2023-07-27,0.4801,0.523,-0.0429,0.0502,1.0,0.0889,0.0996,20.0,20.0,0.026,0.22609999999999994,0.7412000000000001,1.9413,-0.029745000000000004,0.0
2023-07-30,0.5238,0.5513,-0.0276,0.0433,1.0,0.2541,0.2557,20.0,20.0,0.0193,0.060399999999999954,0.6698000000000001,2.2689,-0.029235,0.0
2023-07-31,0.6224,0.6508,-0.0284,0.3839,1.0,0.1045,0.1443,21.0,19.0,0.0331,0.6381,0.8774000000000001,2.9194,-0.028015,0.0
2023-08-01,0.5629,0.5976,-0.0347,-0.022,0.0,0.072,0.0868,20.0,20.0,0.0338,0.6195999999999999,0.8298000000000001,3.0334,-0.026830000000000003,0.0
2023-08-02,0.4907,0.5202,-0.0296,-0.2684,0.0,0.0708,0.0753,21.0,19.0,0.0273,0.1869999999999999,0.5094000000000001,2.7453000000000003,-0.02585,0.0
2023-08-03,0.6898,0.6752,0.0147,0.5025,1.0,0.4365,0.4515,20.0,20.0,0.0121,0.6392999999999999,1.1223,3.0484,-0.02377,0.0
2023-08-06,0.6389,0.74,-0.1011,-0.118,0.0,0.0673,0.1072,28.0,12.0,0.0,0.47799999999999987,0.9934999999999999,2.8823,-0.026640000000000004,0.0
2023-08-07,0.6492,0.6972,-0.048,0.137,1.0,0.166,0.2274,22.0,18.0,0.0276,0.23109999999999986,1.1251,2.7308999999999997,-0.026985,0.0
2023-08-08,0.4644,0.52,-0.0556,0.0327,1.0,0.0589,0.046,23.0,17.0,-0.0098,0.2857999999999999,0.9213,2.3769,-0.02855,0.0
2023-08-09,0.5914,0.6277,-0.0364,0.349,1.0,0.1818,0.2339,22.0,18.0,0.0471,0.9031999999999999,1.2794,2.9703999999999997,-0.029235,0.0
2023-08-10,0.5308,0.554,-0.0232,-0.0894,0.0,0.0976,0.1038,20.0,20.0,0.0207,0.31129999999999997,1.1652,3.0810999999999997,-0.029910000000000003,0.0
2023-08-13,0.6413,0.6957,-0.0544,0.0919,1.0,0.0773,0.1043,24.0,16.0,0.1043,0.5211999999999999,0.9581000000000001,2.6982,-0.031805,0.0
2023-08-14,0.4748,0.501,-0.0262,0.031,1.0,0.0907,0.1044,20.0,20.0,0.0361,0.4151999999999999,0.9562,2.8293999999999997,-0.0337,0.0
2023-08-15,0.5786,0.6142,-0.0356,0.317,1.0,0.073,0.0877,21.0,19.0,0.0455,0.6995,1.3356000000000001,3.5073,-0.03448,0.0
2023-08-16,0.6662,0.7231,-0.0569,-0.1912,0.0,0.0815,0.091,29.0,11.0,0.0819,0.15929999999999997,1.2817,3.4541999999999997,-0.035019999999999996,0.0
2023-08-17,0.5469,0.6253,-0.0785,-0.0089,0.0,0.0583,0.0583,24.0,16.0,0.0353,0.23979999999999999,1.4165,3.5287,-0.0375,0.0
2023-08-20,0.2759,0.3142,-0.0383,-0.1911,0.0,0.0608,0.0296,25.0,15.0,0.0194,-0.043200000000000016,1.0164,3.2778,-0.03825,1.0
2023-08-21,0.425,0.4468,-0.0218,0.1158,1.0,0.0753,0.0544,21.0,19.0,0.0544,0.041599999999999984,1.3259999999999998,3.062,-0.03807,0.0
2023-08-22,0.713,0.7357,-0.0227,0.2063,1.0,0.1228,0.1664,20.0,20.0,0.0567,-0.06910000000000002,1.5358,3.2586,-0.03895,1.0
2023-08-23,0.4797,0.5185,-0.0388,0.0454,1.0,0.0903,0.0829,20.0,20.0,0.0811,0.16749999999999998,1.417,3.6026,-0.0393,0.0
2023-08-24,0.5489,0.5939,-0.045,0.1489,1.0,0.0831,0.0824,25.0,15.0,0.0719,0.3253,1.5157,3.8083,-0.039405,0.0
2023-08-27,0.6865,0.7373,-0.0509,-0.1068,0.0,0.0826,0.1332,20.0,20.0,0.0457,0.40959999999999996,1.3656,3.5462999999999996,-0.04057,0.0
2023-08-28,0.6483,0.6428,0.0055,0.1962,1.0,0.1609,0.2285,20.0,20.0,0.05,0.49,1.1779000000000002,3.7056999999999998,-0.03887500000000001,0.0
2023-08-29,0.6349,0.6819,-0.047,-0.0804,0.0,0.079,0.1094,24.0,16.0,0.0593,0.20329999999999998,1.1195000000000002,3.5014,-0.03949,0.0
2023-08-30,0.7596,0.834,-0.0744,-0.074,0.0,0.0941,0.149,26.0,14.0,0.0446,0.08389999999999999,1.3139,3.2448,-0.04173,0.0
2023-09-03,0.4676,0.4838,-0.0163,-0.0479,0.0,0.0967,0.0968,20.0,20.0,0.0347,-0.11290000000000001,0.7635000000000001,3.0201,-0.04328,1.0
2023-09-04,0.7369,0.8628,-0.1259,-0.4292,0.0,0.0604,0.1044,32.0,7.0,0.0631,-0.4353,0.4523000000000001,2.7058999999999997,-0.04452,1.0
2023-09-05,0.5405,0.5646,-0.0241,-0.1286,0.0,0.0574,0.0445,20.0,20.0,-0.0097,-0.7601,0.1867000000000001,2.7474,-0.043325,1.0
2023-09-07,0.56,0.6383,-0.0783,-0.1794,0.0,0.0846,0.1117,23.0,17.0,0.0495,-0.8591,-0.025399999999999923,2.5401999999999996,-0.04446,1.0
2023-09-10,0.4716,0.4797,-0.0081,0.1167,1.0,0.1088,0.0933,20.0,20.0,0.066,-0.6684000000000001,-0.25769999999999993,2.677,-0.043045,1.0
2023-09-11,0.5262,0.5339,-0.0077,0.1091,1.0,0.1403,0.1581,20.0,20.0,0.0412,-0.5114000000000001,-0.05919999999999992,2.4966,-0.042269999999999995,1.0
2023-09-12,0.498,0.5222,-0.0243,-0.0888,0.0,0.09,0.104,20.0,20.0,0.0565,-0.17099999999999999,-0.2398999999999999,2.4741999999999997,-0.040764999999999996,1.0
